intronID,target_name,accession,query_name,accession_2,mdl,mdl_from,mdl_to,seq_from,seq_to,strand,trunc,pass,gc,bias,score,E-value,inc,description_of_target
IMGVR_UViG_3300009305_000072|3300009305|Ga0116592_1003113_II_539,IMGVR_UViG_3300009305_000072|3300009305|Ga0116592_1003113,-,collapsed_g2,RF00029,cm,1,93,539,2341,+,no,1,0.53,0.0,51.7,0.00016,!,-
IMGVR_UViG_3300009314_000500|3300009314|Ga0117908_1021844_II_5136,IMGVR_UViG_3300009314_000500|3300009314|Ga0117908_1021844,-,Intron_gpII,RF00029,cm,1,93,5136,5040,-,no,1,0.56,0.0,48.7,0.00085,!,-
IMGVR_UViG_3300009314_000932|3300009314|Ga0117908_1013633_II_7803,IMGVR_UViG_3300009314_000932|3300009314|Ga0117908_1013633,-,Intron_gpII,RF00029,cm,1,93,7803,7879,+,no,1,0.57,0.0,60.8,9e-07,!,-
IMGVR_UViG_3300009314_000932|3300009314|Ga0117908_1013633_II_11131,IMGVR_UViG_3300009314_000932|3300009314|Ga0117908_1013633,-,Intron_gpII,RF00029,cm,1,93,11131,11207,+,no,1,0.57,0.0,62.9,2.7e-07,!,-
IMGVR_UViG_3300009320_000915|3300009320|Ga0117909_1037564_II_2110,IMGVR_UViG_3300009320_000915|3300009320|Ga0117909_1037564,-,Intron_gpII,RF00029,cm,1,93,2110,2186,+,no,1,0.49,0.0,54.0,4.3e-05,!,-
IMGVR_UViG_3300009320_001014|3300009320|Ga0117909_1020712_II_7043,IMGVR_UViG_3300009320_001014|3300009320|Ga0117909_1020712,-,Intron_gpII,RF00029,cm,1,93,7043,7119,+,no,1,0.57,0.0,60.8,9e-07,!,-
IMGVR_UViG_3300009320_001014|3300009320|Ga0117909_1020712_II_10371,IMGVR_UViG_3300009320_001014|3300009320|Ga0117909_1020712,-,Intron_gpII,RF00029,cm,1,93,10371,10447,+,no,1,0.57,0.0,62.9,2.7e-07,!,-
IMGVR_UViG_3300009320_001109|3300009320|Ga0117909_1019919_II_7570,IMGVR_UViG_3300009320_001109|3300009320|Ga0117909_1019919,-,Intron_gpII,RF00029,cm,1,93,7570,7486,-,no,1,0.47,0.0,49.7,0.00048,!,-
IMGVR_UViG_3300009320_001109|3300009320|Ga0117909_1019919_II_9361,IMGVR_UViG_3300009320_001109|3300009320|Ga0117909_1019919,-,group-II-D1D4-6,RF02005,cm,1,225,9361,9127,-,no,1,0.49,0.0,129.4,1.2e-33,!,-
IMGVR_UViG_3300009320_001109|3300009320|Ga0117909_1019919_II_9370,IMGVR_UViG_3300009320_001109|3300009320|Ga0117909_1019919,-,group-II-D1D4-4,RF02003,cm,1,138,9370,9251,-,no,1,0.47,0.0,49.8,0.0001,!,-
IMGVR_UViG_3300009320_001284|3300009320|Ga0117909_1070789_II_753,IMGVR_UViG_3300009320_001284|3300009320|Ga0117909_1070789,-,Intron_gpII,RF00029,cm,1,93,753,827,+,no,1,0.65,0.0,59.8,1.6e-06,!,-
IMGVR_UViG_3300009320_001304|3300009320|Ga0117909_1008546_II_16477,IMGVR_UViG_3300009320_001304|3300009320|Ga0117909_1008546,-,Intron_gpII,RF00029,cm,1,93,16477,16381,-,no,1,0.56,0.0,48.7,0.00085,!,-
IMGVR_UViG_3300009327_000090|3300009327|Ga0103843_100258_II_2238,IMGVR_UViG_3300009327_000090|3300009327|Ga0103843_100258,-,Intron_gpII,RF00029,cm,1,93,2238,2312,+,no,1,0.53,0.0,53.8,4.8e-05,!,-
IMGVR_UViG_3300009355_000010|3300009355|Ga0103788_1000075_II_897,IMGVR_UViG_3300009355_000010|3300009355|Ga0103788_1000075,-,Intron_gpII,RF00029,cm,1,93,897,821,-,no,1,0.55,0.0,55.8,1.5e-05,!,-
IMGVR_UViG_3300009362_000207|3300009362|Ga0118673_1002830_II_9527,IMGVR_UViG_3300009362_000207|3300009362|Ga0118673_1002830,-,Intron_gpII,RF00029,cm,1,93,9527,9453,-,no,1,0.61,0.0,52.6,9.4e-05,!,-
IMGVR_UViG_3300009365_002765|3300009365|Ga0118710_1043999_II_3114,IMGVR_UViG_3300009365_002765|3300009365|Ga0118710_1043999,-,Intron_gpII,RF00029,cm,1,93,3114,3190,+,no,1,0.49,0.0,54.0,4.3e-05,!,-
IMGVR_UViG_3300009365_003365|3300009365|Ga0118710_1057167_II_1047,IMGVR_UViG_3300009365_003365|3300009365|Ga0118710_1057167,-,Intron_gpII,RF00029,cm,1,93,1047,950,-,no,1,0.52,0.0,59.6,1.8e-06,!,-
IMGVR_UViG_3300009365_003672|3300009365|Ga0118710_1070435_II_62,IMGVR_UViG_3300009365_003672|3300009365|Ga0118710_1070435,-,group-II-D1D4-2,RF01999,cm,1,62,62,1,-,3',3,0.65,0.0,51.3,0.00016,!,-
IMGVR_UViG_3300009377_001111|3300009377|Ga0118725_1031448_II_1967,IMGVR_UViG_3300009377_001111|3300009377|Ga0118725_1031448,-,collapsed_g2,RF00029,cm,1,93,1967,4357,+,no,1,0.64,0.0,65.3,6.9e-08,!,-
IMGVR_UViG_3300009377_001320|3300009377|Ga0118725_1037792_II_5440,IMGVR_UViG_3300009377_001320|3300009377|Ga0118725_1037792,-,group-II-D1D4-4,RF02003,cm,1,85,5440,5524,+,3',3,0.54,0.0,67.0,5.1e-09,!,-
IMGVR_UViG_3300009377_001688|3300009377|Ga0118725_1031636_II_2290,IMGVR_UViG_3300009377_001688|3300009377|Ga0118725_1031636,-,Intron_gpII,RF00029,cm,1,93,2290,2364,+,no,1,0.67,0.0,53.1,7.1e-05,!,-
IMGVR_UViG_3300009377_001851|3300009377|Ga0118725_1042125_II_1047,IMGVR_UViG_3300009377_001851|3300009377|Ga0118725_1042125,-,Intron_gpII,RF00029,cm,1,93,1047,950,-,no,1,0.52,0.0,59.6,1.8e-06,!,-
IMGVR_UViG_3300009378_000978|3300009378|Ga0118726_1007518_II_7997,IMGVR_UViG_3300009378_000978|3300009378|Ga0118726_1007518,-,Intron_gpII,RF00029,cm,1,93,7997,8093,+,no,1,0.62,0.0,65.1,7.9e-08,!,-
IMGVR_UViG_3300009393_000166|3300009393|Ga0111010_1000695_II_16667,IMGVR_UViG_3300009393_000166|3300009393|Ga0111010_1000695,-,collapsed_g2,RF00029,cm,1,93,16667,19002,-,no,1,0.48,0.0,55.4,1.9e-05,!,-
IMGVR_UViG_3300009404_000233|3300009404|Ga0103853_1000463_II_516,IMGVR_UViG_3300009404_000233|3300009404|Ga0103853_1000463,-,Intron_gpII,RF00029,cm,1,93,516,439,-,no,1,0.50,0.0,47.6,0.0015,!,-
IMGVR_UViG_3300009406_000088|3300009406|Ga0116587_1001052_II_6155,IMGVR_UViG_3300009406_000088|3300009406|Ga0116587_1001052,-,Intron_gpII,RF00029,cm,1,93,6155,6239,+,no,1,0.51,0.0,56.9,8.4e-06,!,-
IMGVR_UViG_3300009418_005579|3300009418|Ga0114908_1006969_II_4742,IMGVR_UViG_3300009418_005579|3300009418|Ga0114908_1006969,-,group-II-D1D4-3,RF02001,cm,1,171,4742,4566,-,no,1,0.45,0.0,115.9,1.6e-20,!,-
IMGVR_UViG_3300009431_001257|3300009431|Ga0120401_1060424_II_3381,IMGVR_UViG_3300009431_001257|3300009431|Ga0120401_1060424,-,Intron_gpII,RF00029,cm,1,93,3381,3307,-,no,1,0.65,0.0,59.8,1.6e-06,!,-
IMGVR_UViG_3300009431_001271|3300009431|Ga0120401_1014074_II_52,IMGVR_UViG_3300009431_001271|3300009431|Ga0120401_1014074,-,group-II-D1D4-3,RF02001,cm,1,171,52,225,+,no,1,0.57,0.0,91.6,1.5e-14,!,-
IMGVR_UViG_3300009431_001296|3300009431|Ga0120401_1018854_II_724,IMGVR_UViG_3300009431_001296|3300009431|Ga0120401_1018854,-,Intron_gpII,RF00029,cm,1,93,724,648,-,no,1,0.57,0.0,62.9,2.7e-07,!,-
IMGVR_UViG_3300009431_001296|3300009431|Ga0120401_1018854_II_4052,IMGVR_UViG_3300009431_001296|3300009431|Ga0120401_1018854,-,Intron_gpII,RF00029,cm,1,93,4052,3976,-,no,1,0.57,0.0,60.8,9e-07,!,-
IMGVR_UViG_3300009431_001345|3300009431|Ga0120401_1044246_II_5378,IMGVR_UViG_3300009431_001345|3300009431|Ga0120401_1044246,-,Intron_gpII,RF00029,cm,1,93,5378,5302,-,no,1,0.61,0.0,57.7,5.1e-06,!,-
IMGVR_UViG_3300009470_000478|3300009470|Ga0126447_1000653_II_1581,IMGVR_UViG_3300009470_000478|3300009470|Ga0126447_1000653,-,Intron_gpII,RF00029,cm,1,93,1581,1499,-,no,1,0.58,0.0,49.8,0.00046,!,-
IMGVR_UViG_3300009502_002871|3300009502|Ga0114951_10010483_II_94,IMGVR_UViG_3300009502_002871|3300009502|Ga0114951_10010483,-,group-II-D1D4-6,RF02005,cm,1,94,94,1,-,3',3,0.54,0.0,41.5,1.2e-05,!,-
IMGVR_UViG_3300009514_001324|3300009514|Ga0129284_10011611_II_2645,IMGVR_UViG_3300009514_001324|3300009514|Ga0129284_10011611,-,collapsed_g2,RF00029,cm,1,93,2645,4027,+,no,1,0.55,0.0,59.7,1.7e-06,!,-
IMGVR_UViG_3300009523_000110|3300009523|Ga0116221_1007544_II_6488,IMGVR_UViG_3300009523_000110|3300009523|Ga0116221_1007544,-,group-II-D1D4-4,RF02003,cm,1,95,6488,6585,+,3',3,0.58,0.0,59.8,3.2e-07,!,-
IMGVR_UViG_3300009542_000427|3300009542|Ga0116234_1197272_II_1915,IMGVR_UViG_3300009542_000427|3300009542|Ga0116234_1197272,-,group-II-D1D4-3,RF02001,cm,1,171,1915,1753,-,no,1,0.52,0.0,89.6,4.6e-14,!,-
IMGVR_UViG_3300009543_001366|3300009543|Ga0115099_10267269_II_47,IMGVR_UViG_3300009543_001366|3300009543|Ga0115099_10267269,-,Intron_gpII,RF00029,cm,1,93,47,3,-,no,1,0.56,0.0,47.1,0.002,!,-
IMGVR_UViG_3300009543_001376|3300009543|Ga0115099_10428059_II_2412,IMGVR_UViG_3300009543_001376|3300009543|Ga0115099_10428059,-,Intron_gpII,RF00029,cm,1,39,2412,2450,+,3',3,0.56,0.0,49.1,0.00067,!,-
IMGVR_UViG_3300009553_000796|3300009553|Ga0105249_10005348_II_5043,IMGVR_UViG_3300009553_000796|3300009553|Ga0105249_10005348,-,collapsed_g2,RF00029,cm,1,93,5043,7812,+,no,1,0.50,0.0,67.2,2.5e-08,!,-
IMGVR_UViG_3300009553_000796|3300009553|Ga0105249_10005348_II_7738,IMGVR_UViG_3300009553_000796|3300009553|Ga0105249_10005348,-,collapsed_g2,RF00029,cm,1,93,7738,10342,+,no,1,0.51,0.0,64.5,1.1e-07,!,-
IMGVR_UViG_3300009579_000834|3300009579|Ga0115599_1060007_II_160,IMGVR_UViG_3300009579_000834|3300009579|Ga0115599_1060007,-,Intron_gpII,RF00029,cm,1,93,160,68,-,no,1,0.46,0.0,69.8,5.7e-09,!,-
IMGVR_UViG_3300009588_000365|3300009588|Ga0116232_1064628_II_1667,IMGVR_UViG_3300009588_000365|3300009588|Ga0116232_1064628,-,group-II-D1D4-6,RF02005,cm,1,225,1667,2083,+,no,1,0.58,5.5,66.5,1.2e-13,!,-
IMGVR_UViG_3300009592_000522|3300009592|Ga0115101_1262814_II_206,IMGVR_UViG_3300009592_000522|3300009592|Ga0115101_1262814,-,Intron_gpII,RF00029,cm,1,93,206,124,-,no,1,0.45,0.0,61.7,5.6e-07,!,-
IMGVR_UViG_3300009592_000554|3300009592|Ga0115101_1158965_II_46,IMGVR_UViG_3300009592_000554|3300009592|Ga0115101_1158965,-,collapsed_g2,RF00029,cm,1,46,46,2145,-,3',3,0.61,0.0,47.9,0.0013,!,-
IMGVR_UViG_3300009592_000587|3300009592|Ga0115101_1062390_II_867,IMGVR_UViG_3300009592_000587|3300009592|Ga0115101_1062390,-,collapsed_g2,RF00029,cm,1,93,867,1151,+,no,1,0.47,0.0,54.7,2.8e-05,!,-
IMGVR_UViG_3300009594_000001|3300009594|Ga0114941_100001_II_46126,IMGVR_UViG_3300009594_000001|3300009594|Ga0114941_100001,-,Intron_gpII,RF00029,cm,1,93,46126,46221,+,no,1,0.57,0.0,54.7,2.8e-05,!,-
IMGVR_UViG_3300009599_002165|3300009599|Ga0115103_1862807_II_202,IMGVR_UViG_3300009599_002165|3300009599|Ga0115103_1862807,-,Intron_gpII,RF00029,cm,1,93,202,122,-,no,1,0.60,0.0,52.7,8.9e-05,!,-
IMGVR_UViG_3300009599_002267|3300009599|Ga0115103_1312227_II_196,IMGVR_UViG_3300009599_002267|3300009599|Ga0115103_1312227,-,Intron_gpII,RF00029,cm,1,93,196,112,-,no,1,0.53,0.0,61.3,6.9e-07,!,-
IMGVR_UViG_3300009607_000195|3300009607|Ga0123327_1002331_II_5057,IMGVR_UViG_3300009607_000195|3300009607|Ga0123327_1002331,-,Intron_gpII,RF00029,cm,1,93,5057,5131,+,no,1,0.61,0.0,52.6,9.4e-05,!,-
IMGVR_UViG_3300009607_000257|3300009607|Ga0123327_1011440_II_1837,IMGVR_UViG_3300009607_000257|3300009607|Ga0123327_1011440,-,group-II-D1D4-3,RF02001,cm,1,171,1837,1668,-,no,1,0.53,0.0,61.1,4.5e-07,!,-
IMGVR_UViG_3300009609_000620|3300009609|Ga0105347_1001941_II_2444,IMGVR_UViG_3300009609_000620|3300009609|Ga0105347_1001941,-,Intron_gpII,RF00029,cm,1,93,2444,2519,+,no,1,0.62,0.0,54.5,3.2e-05,!,-
IMGVR_UViG_3300009616_000171|3300009616|Ga0116111_1004711_II_6402,IMGVR_UViG_3300009616_000171|3300009616|Ga0116111_1004711,-,collapsed_g2,RF02003,cm,1,138,6402,6272,-,no,1,0.61,0.0,91.6,3.5e-15,!,-
IMGVR_UViG_3300009642_000232|3300009642|Ga0123331_1011574_II_2073,IMGVR_UViG_3300009642_000232|3300009642|Ga0123331_1011574,-,group-II-D1D4-3,RF02001,cm,1,171,2073,1904,-,no,1,0.53,0.0,61.1,4.5e-07,!,-
IMGVR_UViG_3300009643_000002|3300009643|Ga0116110_1000290_II_31660,IMGVR_UViG_3300009643_000002|3300009643|Ga0116110_1000290,-,group-II-D1D4-2,RF01999,cm,1,59,31660,31718,+,3',3,0.71,0.0,57.0,6.8e-06,!,-
IMGVR_UViG_3300009647_000309|3300009647|Ga0123326_1011940_II_1346,IMGVR_UViG_3300009647_000309|3300009647|Ga0123326_1011940,-,Intron_gpII,RF00029,cm,1,93,1346,1430,+,no,1,0.55,0.0,58.3,3.7e-06,!,-
IMGVR_UViG_3300009647_000311|3300009647|Ga0123326_1002460_II_9101,IMGVR_UViG_3300009647_000311|3300009647|Ga0123326_1002460,-,Intron_gpII,RF00029,cm,1,93,9101,9027,-,no,1,0.61,0.0,52.6,9.4e-05,!,-
IMGVR_UViG_3300009652_000303|3300009652|Ga0123330_1013200_II_3633,IMGVR_UViG_3300009652_000303|3300009652|Ga0123330_1013200,-,Intron_gpII,RF00029,cm,1,93,3633,3549,-,no,1,0.55,0.0,58.3,3.7e-06,!,-
IMGVR_UViG_3300009652_000313|3300009652|Ga0123330_1003127_II_9061,IMGVR_UViG_3300009652_000313|3300009652|Ga0123330_1003127,-,Intron_gpII,RF00029,cm,1,93,9061,8987,-,no,1,0.61,0.0,52.6,9.4e-05,!,-
IMGVR_UViG_3300009652_000356|3300009652|Ga0123330_1006660_II_2073,IMGVR_UViG_3300009652_000356|3300009652|Ga0123330_1006660,-,group-II-D1D4-3,RF02001,cm,1,171,2073,1904,-,no,1,0.53,0.0,61.1,4.5e-07,!,-
IMGVR_UViG_3300009654_000994|3300009654|Ga0116167_1002694|4145-14202_II_1689,IMGVR_UViG_3300009654_000994|3300009654|Ga0116167_1002694|4145-14202,-,group-II-D1D4-4,RF02003,cm,1,138,1689,1829,+,no,1,0.52,0.0,100.1,2.6e-17,!,-
IMGVR_UViG_3300009655_000112|3300009655|Ga0116190_1004203_II_3,IMGVR_UViG_3300009655_000112|3300009655|Ga0116190_1004203,-,Intron_gpII,RF00029,cm,1,93,3,121,+,no,1,0.42,0.0,51.2,0.00021,!,-
IMGVR_UViG_3300009655_000410|3300009655|Ga0116190_1004958_II_31,IMGVR_UViG_3300009655_000410|3300009655|Ga0116190_1004958,-,Intron_gpII,RF00029,cm,1,93,31,121,+,no,1,0.47,0.0,62.0,4.6e-07,!,-
IMGVR_UViG_3300009655_000540|3300009655|Ga0116190_1006523_II_7470,IMGVR_UViG_3300009655_000540|3300009655|Ga0116190_1006523,-,collapsed_g2,RF02003,cm,1,87,7470,7559,+,3',3,0.58,0.0,42.1,0.0087,!,-
IMGVR_UViG_3300009655_000686|3300009655|Ga0116190_1001306_II_21990,IMGVR_UViG_3300009655_000686|3300009655|Ga0116190_1001306,-,group-II-D1D4-6,RF02005,cm,1,85,21990,22069,+,3',3,0.57,0.0,39.8,4e-05,!,-
IMGVR_UViG_3300009655_001036|3300009655|Ga0116190_1004920_II_8709,IMGVR_UViG_3300009655_001036|3300009655|Ga0116190_1004920,-,Intron_gpII,RF00029,cm,1,93,8709,8617,-,no,1,0.53,0.0,62.9,2.7e-07,!,-
IMGVR_UViG_3300009656_000273|3300009656|Ga0123329_1003068_II_9101,IMGVR_UViG_3300009656_000273|3300009656|Ga0123329_1003068,-,Intron_gpII,RF00029,cm,1,93,9101,9027,-,no,1,0.61,0.0,52.6,9.4e-05,!,-
IMGVR_UViG_3300009658_000077|3300009658|Ga0116188_1002363_II_10761,IMGVR_UViG_3300009658_000077|3300009658|Ga0116188_1002363,-,Intron_gpII,RF00029,cm,1,93,10761,10669,-,no,1,0.53,0.0,62.9,2.7e-07,!,-
IMGVR_UViG_3300009658_000090|3300009658|Ga0116188_1002739_II_3399,IMGVR_UViG_3300009658_000090|3300009658|Ga0116188_1002739,-,Intron_gpII,RF00029,cm,1,93,3399,3495,+,no,1,0.56,0.0,58.6,3.1e-06,!,-
IMGVR_UViG_3300009658_000097|3300009658|Ga0116188_1003028_II_22,IMGVR_UViG_3300009658_000097|3300009658|Ga0116188_1003028,-,collapsed_g2,RF00029,cm,1,93,22,1850,+,no,1,0.55,0.0,57.1,7.4e-06,!,-
IMGVR_UViG_3300009658_000097|3300009658|Ga0116188_1003028_II_1651,IMGVR_UViG_3300009658_000097|3300009658|Ga0116188_1003028,-,collapsed_g2,RF00029,cm,1,93,1651,4335,+,no,1,0.48,0.0,51.4,0.00018,!,-
IMGVR_UViG_3300009658_000603|3300009658|Ga0116188_1005006_II_5466,IMGVR_UViG_3300009658_000603|3300009658|Ga0116188_1005006,-,Intron_gpII,RF00029,cm,1,93,5466,5376,-,no,1,0.47,0.0,62.0,4.6e-07,!,-
IMGVR_UViG_3300009658_001028|3300009658|Ga0116188_1015615_II_2577,IMGVR_UViG_3300009658_001028|3300009658|Ga0116188_1015615,-,group-II-D1D4-7,RF02012,cm,1,148,2577,2757,+,no,1,0.51,0.0,88.1,1.7e-12,!,-
IMGVR_UViG_3300009659_000278|3300009659|Ga0123328_1003203_II_9081,IMGVR_UViG_3300009659_000278|3300009659|Ga0123328_1003203,-,Intron_gpII,RF00029,cm,1,93,9081,9007,-,no,1,0.61,0.0,52.6,9.4e-05,!,-
IMGVR_UViG_3300009664_000161|3300009664|Ga0116146_1004834_II_3,IMGVR_UViG_3300009664_000161|3300009664|Ga0116146_1004834,-,Intron_gpII,RF00029,cm,1,93,3,121,+,no,1,0.42,0.0,51.2,0.00021,!,-
IMGVR_UViG_3300009664_000613|3300009664|Ga0116146_1002444_II_16489,IMGVR_UViG_3300009664_000613|3300009664|Ga0116146_1002444,-,collapsed_g2,RF02003,cm,1,87,16489,16578,+,3',3,0.58,0.0,42.1,0.0087,!,-
IMGVR_UViG_3300009664_000826|3300009664|Ga0116146_1001639_II_21990,IMGVR_UViG_3300009664_000826|3300009664|Ga0116146_1001639,-,group-II-D1D4-6,RF02005,cm,1,85,21990,22069,+,3',3,0.57,0.0,39.8,4e-05,!,-
IMGVR_UViG_3300009666_001097|3300009666|Ga0116182_1021470_II_4176,IMGVR_UViG_3300009666_001097|3300009666|Ga0116182_1021470,-,Intron_gpII,RF00029,cm,1,93,4176,4100,-,no,1,0.61,0.0,59.5,1.9e-06,!,-
IMGVR_UViG_3300009667_000143|3300009667|Ga0116147_1005910_II_3,IMGVR_UViG_3300009667_000143|3300009667|Ga0116147_1005910,-,Intron_gpII,RF00029,cm,1,93,3,121,+,no,1,0.42,0.0,51.2,0.00021,!,-
IMGVR_UViG_3300009667_000899|3300009667|Ga0116147_1001899_II_21990,IMGVR_UViG_3300009667_000899|3300009667|Ga0116147_1001899,-,group-II-D1D4-6,RF02005,cm,1,85,21990,22069,+,3',3,0.57,0.0,39.8,4e-05,!,-
IMGVR_UViG_3300009667_000920|3300009667|Ga0116147_1014166_II_5085,IMGVR_UViG_3300009667_000920|3300009667|Ga0116147_1014166,-,collapsed_g2,RF02003,cm,1,87,5085,5174,+,3',3,0.58,0.0,42.1,0.0087,!,-
IMGVR_UViG_3300009669_001041|3300009669|Ga0116148_1007715_II_8428,IMGVR_UViG_3300009669_001041|3300009669|Ga0116148_1007715,-,collapsed_g2,RF02003,cm,15,138,8428,8317,-,5',2,0.56,0.0,80.6,2e-12,!,-
IMGVR_UViG_3300009671_000802|3300009671|Ga0123334_1004504_II_9101,IMGVR_UViG_3300009671_000802|3300009671|Ga0123334_1004504,-,Intron_gpII,RF00029,cm,1,93,9101,9027,-,no,1,0.61,0.0,52.6,9.4e-05,!,-
IMGVR_UViG_3300009672_000069|3300009672|Ga0116215_1004862_II_6441,IMGVR_UViG_3300009672_000069|3300009672|Ga0116215_1004862,-,Intron_gpII,RF00029,cm,1,93,6441,6365,-,no,1,0.68,0.0,64.6,1e-07,!,-
IMGVR_UViG_3300009674_000189|3300009674|Ga0116173_1015723_II_1674,IMGVR_UViG_3300009674_000189|3300009674|Ga0116173_1015723,-,Intron_gpII,RF00029,cm,1,93,1674,1758,+,no,1,0.48,0.0,53.7,4.9e-05,!,-
IMGVR_UViG_3300009674_000276|3300009674|Ga0116173_1007910_II_6550,IMGVR_UViG_3300009674_000276|3300009674|Ga0116173_1007910,-,group-II-D1D4-5,RF02004,cm,1,201,6550,6746,+,no,1,0.46,0.0,191.0,4.8e-41,!,-
IMGVR_UViG_3300009674_000289|3300009674|Ga0116173_1014643_II_4346,IMGVR_UViG_3300009674_000289|3300009674|Ga0116173_1014643,-,Intron_gpII,RF00029,cm,1,93,4346,4442,+,no,1,0.53,0.0,55.7,1.6e-05,!,-
IMGVR_UViG_3300009675_000388|3300009675|Ga0116149_1014734_II_1536,IMGVR_UViG_3300009675_000388|3300009675|Ga0116149_1014734,-,Intron_gpII,RF00029,cm,1,93,1536,1461,-,no,1,0.63,0.0,49.3,0.00059,!,-
IMGVR_UViG_3300009675_000923|3300009675|Ga0116149_1006810_II_2736,IMGVR_UViG_3300009675_000923|3300009675|Ga0116149_1006810,-,Intron_gpII,RF00029,cm,1,93,2736,2812,+,no,1,0.61,0.0,59.5,1.9e-06,!,-
IMGVR_UViG_3300009677_002109|3300009677|Ga0115104_11274929_II_107,IMGVR_UViG_3300009677_002109|3300009677|Ga0115104_11274929,-,collapsed_g2,RF00029,cm,1,93,107,2425,+,no,1,0.62,0.0,66.5,3.6e-08,!,-
IMGVR_UViG_3300009677_002178|3300009677|Ga0115104_10139399_II_22,IMGVR_UViG_3300009677_002178|3300009677|Ga0115104_10139399,-,collapsed_g2,RF00029,cm,1,41,22,2433,+,3',3,0.54,0.0,46.6,0.0028,!,-
IMGVR_UViG_3300009677_002195|3300009677|Ga0115104_10192912_II_104,IMGVR_UViG_3300009677_002195|3300009677|Ga0115104_10192912,-,collapsed_g2,RF00029,cm,1,42,104,2470,+,3',3,0.57,0.0,46.7,0.0026,!,-
IMGVR_UViG_3300009679_002524|3300009679|Ga0115105_11198832_II_46,IMGVR_UViG_3300009679_002524|3300009679|Ga0115105_11198832,-,Intron_gpII,RF00029,cm,1,46,46,1,-,3',3,0.57,0.0,46.2,0.0034,!,-
IMGVR_UViG_3300009679_002647|3300009679|Ga0115105_11078603_II_2089,IMGVR_UViG_3300009679_002647|3300009679|Ga0115105_11078603,-,Intron_gpII,RF00029,cm,1,45,2089,2133,+,3',3,0.56,0.0,48.0,0.0013,!,-
IMGVR_UViG_3300009680_000818|3300009680|Ga0123335_1006152_II_9101,IMGVR_UViG_3300009680_000818|3300009680|Ga0123335_1006152,-,Intron_gpII,RF00029,cm,1,93,9101,9027,-,no,1,0.61,0.0,52.6,9.4e-05,!,-
IMGVR_UViG_3300009681_000700|3300009681|Ga0116174_10019546_II_3428,IMGVR_UViG_3300009681_000700|3300009681|Ga0116174_10019546,-,Intron_gpII,RF00029,cm,1,93,3428,3524,+,no,1,0.53,0.0,55.7,1.6e-05,!,-
IMGVR_UViG_3300009681_000777|3300009681|Ga0116174_10000827|9120-29752_II_19033,IMGVR_UViG_3300009681_000777|3300009681|Ga0116174_10000827|9120-29752,-,Intron_gpII,RF00029,cm,1,93,19033,18949,-,no,1,0.48,0.0,53.7,4.9e-05,!,-
IMGVR_UViG_3300009682_000571|3300009682|Ga0116172_10014682_II_5255,IMGVR_UViG_3300009682_000571|3300009682|Ga0116172_10014682,-,Intron_gpII,RF00029,cm,1,93,5255,5351,+,no,1,0.53,0.0,55.7,1.6e-05,!,-
IMGVR_UViG_3300009682_000771|3300009682|Ga0116172_10000804|9120-29752_II_19033,IMGVR_UViG_3300009682_000771|3300009682|Ga0116172_10000804|9120-29752,-,Intron_gpII,RF00029,cm,1,93,19033,18949,-,no,1,0.48,0.0,53.7,4.9e-05,!,-
IMGVR_UViG_3300009691_000255|3300009691|Ga0114944_1002706_II_2197,IMGVR_UViG_3300009691_000255|3300009691|Ga0114944_1002706,-,group-II-D1D4-1,RF01998,cm,1,84,2197,2084,-,no,1,0.45,0.0,47.3,0.009,!,-
IMGVR_UViG_3300009695_000352|3300009695|Ga0123337_10014868_II_5919,IMGVR_UViG_3300009695_000352|3300009695|Ga0123337_10014868,-,Intron_gpII,RF00029,cm,1,93,5919,5995,+,no,1,0.55,0.0,52.1,0.00012,!,-
IMGVR_UViG_3300009700_000234|3300009700|Ga0116217_10011744_II_7159,IMGVR_UViG_3300009700_000234|3300009700|Ga0116217_10011744,-,group-II-D1D4-2,RF01999,cm,1,46,7159,7204,+,3',3,0.61,0.0,45.8,0.0035,!,-
IMGVR_UViG_3300009702_000924|3300009702|Ga0114931_10021387_II_419,IMGVR_UViG_3300009702_000924|3300009702|Ga0114931_10021387,-,group-II-D1D4-2,RF01999,cm,1,118,419,302,-,no,1,0.61,0.0,115.9,3.6e-20,!,-
IMGVR_UViG_3300009702_000924|3300009702|Ga0114931_10021387_II_1406,IMGVR_UViG_3300009702_000924|3300009702|Ga0114931_10021387,-,group-II-D1D4-1,RF01998,cm,1,84,1406,1324,-,no,1,0.64,0.0,65.6,6e-07,!,-
IMGVR_UViG_3300009702_000924|3300009702|Ga0114931_10021387_II_1611,IMGVR_UViG_3300009702_000924|3300009702|Ga0114931_10021387,-,group-II-D1D4-3,RF02001,cm,1,171,1611,1439,-,no,1,0.62,0.3,142.7,4.3e-27,!,-
IMGVR_UViG_3300009704_000590|3300009704|Ga0116145_1013757_II_4,IMGVR_UViG_3300009704_000590|3300009704|Ga0116145_1013757,-,Intron_gpII,RF00029,cm,1,93,4,122,+,no,1,0.42,0.0,51.2,0.00021,!,-
IMGVR_UViG_3300009711_000024|3300009711|Ga0116166_1000699_II_479,IMGVR_UViG_3300009711_000024|3300009711|Ga0116166_1000699,-,group-II-D1D4-3,RF02001,cm,1,171,479,647,+,no,1,0.63,0.2,75.7,1.2e-10,!,-
