# target name        accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
OQ555808             -          A.v.I2               -                2    1852   59511   61403   59510   61411   62663    +       3e-95  327.8 102.4  Mycobacterium phage Nanz197, complete genome.
MK448888             -          B.sp.I1              -              573    1224   11041   11717   11019   11738   33765    +     7.1e-20   77.8  40.1  Streptococcus phage Javan26, complete genome.
ON107264             -          B.sp.I1              -              697    1173   86120   86593   86077   86613  133818    +     1.9e-18   73.1  15.8  Bacillus phage BUCT083, complete genome.
MT836027             -          B.sp.I1              -              537    1181    8917    8242    8937    8203   13768    -     4.5e-11   48.7  19.0  UNVERIFIED: Bacteriophage sp. clone scaffold_1234 genomic sequence.
EU982300             -          B.sp.I1              -               21     352    5212    5516    5194    5552   22689    +     4.8e-07   35.3  12.5  Pseudomonas phage DVM-2008, genomic sequence.
MT836602             -          B.sp.I1              -              649    1168    4075    4578    3993    4600   16695    +     1.3e-06   33.9   9.5  UNVERIFIED: Bacteriophage sp. clone scaffold_2602 genomic sequence.
MT837010             -          B.sp.I1              -                5     197    5958    5765    5962    5741   20244    -     3.9e-06   32.3   8.7  UNVERIFIED: Bacteriophage sp. clone scaffold_3628 genomic sequence.
MT836484             -          B.sp.I1              -              113     359   12050   12297   12028   12319   13522    +       4e-05   29.0   8.5  UNVERIFIED: Bacteriophage sp. clone scaffold_2312 genomic sequence.
LC727904             -          B.sp.I1              -              696    1171    6012    5525    6037    5505   60207    -     8.4e-05   27.9   3.0  StxXX-converting phage Stx1_JNE110649 DNA, complete genome.
MT836950             -          B.sp.I1              -               68     353    9883   10161    9859   10182   12194    +       0.001   24.3  14.4  UNVERIFIED: Bacteriophage sp. clone scaffold_3480 genomic sequence.
MN270258             -          B.sp.I1              -              583    1174   81132   81715   81108   81736  110666    +       0.017   20.3  35.9  Streptococcus phage phi-SgaBSJ27_rum, complete genome.
MN270259             -          B.sp.I1              -              583    1174   81168   81751   81144   81772  106491    +       0.017   20.3  35.9  Streptococcus phage phi-SgaBSJ31_rum, complete genome.
EU982300             -          B.sp.I1              -             1689    1859    5730    5880    5709    5880   22689    +       0.033   19.3   0.7  Pseudomonas phage DVM-2008, genomic sequence.
MK448228             -          B.sp.I1              -              655    1065    2001    1588    2064    1522   46342    -        0.41   15.7   9.6  Klebsiella phage ST15-VIM1phi2.1, complete genome.
ON470622             -          B.sp.I1              -              655    1065   41153   41566   41090   41631   46650    +        0.41   15.7   9.6  Escherichia phage vB_EcoS-716R3, partial genome.
ON470608             -          B.sp.I1              -              655    1065    5498    5085    5561    5020   46651    -        0.66   15.0   9.4  Escherichia phage vB_EcoS-733R5, complete genome.
MT835684             -          B.sp.I1              -                2     116   15795   15689   15796   15665   21788    -         2.5   13.1   6.2  UNVERIFIED: Bacteriophage sp. clone scaffold_438 genomic sequence.
MT836030             -          B.sp.I1              -                4     128   12795   12669   12798   12624   13679    -         4.2   12.3   4.8  UNVERIFIED: Bacteriophage sp. clone scaffold_1245 genomic sequence.
MT836950             -          Ba.t.I3              -               14     357    9829   10164    9816   10184   12194    +       1e-42  151.6  13.5  UNVERIFIED: Bacteriophage sp. clone scaffold_3480 genomic sequence.
OQ555808             -          Ba.t.I3              -                2    1872   59511   61381   59510   61396   62663    +     4.6e-21   79.8  96.6  Mycobacterium phage Nanz197, complete genome.
MT837010             -          Ba.t.I3              -                2     268    5961    5666    5962    5645   20244    -     3.4e-16   63.6   4.1  UNVERIFIED: Bacteriophage sp. clone scaffold_3628 genomic sequence.
LC727904             -          Ba.t.I3              -              679    1197    6068    5526    6088    5506   60207    -     1.6e-12   51.5   3.1  StxXX-converting phage Stx1_JNE110649 DNA, complete genome.
MT836027             -          Ba.t.I3              -              732    1233    8733    8219    8754    8198   13768    -     6.5e-09   39.5  10.0  UNVERIFIED: Bacteriophage sp. clone scaffold_1234 genomic sequence.
MT836071             -          Ba.t.I3              -              725    1188   21222   20762   21243   20740   25949    -       1e-07   35.5  13.5  UNVERIFIED: Bacteriophage sp. clone scaffold_1347 genomic sequence.
ON107264             -          Ba.t.I3              -              728    1196   86124   86589   86100   86600  133818    +     2.2e-07   34.4  13.8  Bacillus phage BUCT083, complete genome.
MK448781             -          Ba.t.I3              -             2491    3107   10745   11376   10719   11526   40382    +     8.8e-07   32.4  39.7  Streptococcus phage Javan5, complete genome.
MK448731             -          Ba.t.I3              -             2491    3107   13111   13742   13084   13892   35793    +     8.9e-07   32.4  39.8  Streptococcus phage Javan33, complete genome.
MK448888             -          Ba.t.I3              -             2491    3107   11083   11714   11056   11864   33765    +     8.9e-07   32.4  39.8  Streptococcus phage Javan26, complete genome.
HQ906664             -          Ba.t.I3              -             1711    2085   20890   21265   20866   21270   21272    +     9.7e-06   29.0  12.2  Wolbachia endosymbiont wVitA of Nasonia vitripennis phage WOVitA4, complete sequence.
EU982300             -          Ba.t.I3              -               26     212    5217    5398    5196    5418   22689    +     0.00038   23.7   9.4  Pseudomonas phage DVM-2008, genomic sequence.
MT836484             -          Ba.t.I3              -               97     354   12037   12291   12005   12311   13522    +      0.0025   21.0   6.6  UNVERIFIED: Bacteriophage sp. clone scaffold_2312 genomic sequence.
ON470608             -          Ba.t.I3              -             2716    3095    5303    4916    5347    4893   46651    -       0.017   18.2   4.4  Escherichia phage vB_EcoS-733R5, complete genome.
MK448228             -          Ba.t.I3              -             2717    3095    1805    1419    1850    1396   46342    -        0.02   18.0   4.5  Klebsiella phage ST15-VIM1phi2.1, complete genome.
ON470622             -          Ba.t.I3              -             2717    3095   41349   41735   41304   41758   46650    +        0.02   18.0   4.5  Escherichia phage vB_EcoS-716R3, partial genome.
MT836320             -          Ba.t.I3              -                3     241   10511   10737   10509   10757   11107    +        0.14   15.1   5.5  UNVERIFIED: Bacteriophage sp. clone scaffold_1927 genomic sequence.
MT836602             -          Ba.t.I3              -             2468    3022    4023    4556    3993    4584   16695    +        0.55   13.2   8.2  UNVERIFIED: Bacteriophage sp. clone scaffold_2602 genomic sequence.
MT835550             -          Ba.t.I3              -              760    1268   10530   11065   10507   11099   34009    +        0.74   12.8   9.6  UNVERIFIED: Bacteriophage sp. clone scaffold_153 genomic sequence.
MT836269             -          Ba.t.I3              -             1130    1382    4803    5064    4782    5146   11434    +         3.5   10.5   4.7  UNVERIFIED: Bacteriophage sp. clone scaffold_1817 genomic sequence.
MN270258             -          Ba.t.I3              -              750    1190   81269   81703   81247   81723  110666    +         7.8    9.4  24.0  Streptococcus phage phi-SgaBSJ27_rum, complete genome.
MN270259             -          Ba.t.I3              -              750    1190   81305   81739   81283   81759  106491    +         7.8    9.4  24.0  Streptococcus phage phi-SgaBSJ31_rum, complete genome.
OQ555808             -          Br.sp.I1             -                4    1851   59513   61389   59504   61409   62663    +     2.7e-77  268.1 101.5  Mycobacterium phage Nanz197, complete genome.
LC727904             -          Br.sp.I1             -              678    1178    6036    5524    6083    5506   60207    -       4e-13   55.6   3.8  StxXX-converting phage Stx1_JNE110649 DNA, complete genome.
MT835550             -          Br.sp.I1             -              569    1213   10363   11031   10342   11052   34009    +     1.7e-12   53.5  12.7  UNVERIFIED: Bacteriophage sp. clone scaffold_153 genomic sequence.
KT887559             -          Br.sp.I1             -              612    1679    1299    2425    1286    2445   32637    +     3.8e-12   52.4  21.2  Pseudomonas phage phi3, complete genome.
NC_030940            -          Br.sp.I1             -              612    1679    1299    2425    1286    2445   32637    +     3.8e-12   52.4  21.2  Pseudomonas phage phi3, complete genome.
MK448228             -          Br.sp.I1             -              574    1148    2085    1511    2106    1486   46342    -     5.1e-11   48.6  11.6  Klebsiella phage ST15-VIM1phi2.1, complete genome.
ON470608             -          Br.sp.I1             -              574    1148    5582    5008    5603    4981   46651    -     5.2e-11   48.6  11.5  Escherichia phage vB_EcoS-733R5, complete genome.
ON470622             -          Br.sp.I1             -              574    1148   41069   41643   41048   41671   46650    +     5.6e-11   48.5  11.7  Escherichia phage vB_EcoS-716R3, partial genome.
BK063676             -          Br.sp.I1             -              636    1333   30135   30805   30112   30826   37696    +      0.0012   24.2   5.4  TPA_asm: Caudoviricetes sp. vir215 genomic sequence.
EU982300             -          Br.sp.I1             -             1490    1866    5471    5873    5413    5880   22689    +      0.0029   23.0   6.6  Pseudomonas phage DVM-2008, genomic sequence.
EU982300             -          Br.sp.I1             -               22     151    5213    5341    5198    5361   22689    +       0.042   19.1   8.1  Pseudomonas phage DVM-2008, genomic sequence.
MT836027             -          Br.sp.I1             -              816    1207    8622    8224    8688    8202   13768    -         1.3   14.2   6.0  UNVERIFIED: Bacteriophage sp. clone scaffold_1234 genomic sequence.
MT837010             -          Br.sp.I1             -               29     158    5934    5803    5954    5783   20244    -         3.6   12.7   6.4  UNVERIFIED: Bacteriophage sp. clone scaffold_3628 genomic sequence.
MT835878             -          Br.sp.I1             -              723    1053   10791   10489   10812   10468   19562    -         4.1   12.5  11.8  UNVERIFIED: Bacteriophage sp. clone scaffold_877 genomic sequence.
OQ555808             -          Brb.br.I1            -                2    1890   59511   61409   59510   61409   62663    +     1.5e-61  215.3  96.9  Mycobacterium phage Nanz197, complete genome.
MK448731             -          Brb.br.I1            -              616    1181   13094   13662   13071   13685   35793    +     1.3e-10   46.6  34.7  Streptococcus phage Javan33, complete genome.
MK448781             -          Brb.br.I1            -              616    1181   10728   11296   10705   11319   40382    +     1.3e-10   46.6  34.7  Streptococcus phage Javan5, complete genome.
MK448888             -          Brb.br.I1            -              616    1181   11066   11634   11043   11657   33765    +     1.3e-10   46.6  34.7  Streptococcus phage Javan26, complete genome.
MT836484             -          Brb.br.I1            -              110     357   12048   12294   12026   12316   13522    +     3.3e-09   42.0   8.3  UNVERIFIED: Bacteriophage sp. clone scaffold_2312 genomic sequence.
ON107264             -          Brb.br.I1            -              714    1187   86119   86589   86097   86609  133818    +     8.1e-07   34.1  14.7  Bacillus phage BUCT083, complete genome.
MT836602             -          Brb.br.I1            -              709    1181    4113    4573    4093    4595   16695    +     1.1e-06   33.6   6.8  UNVERIFIED: Bacteriophage sp. clone scaffold_2602 genomic sequence.
LC727904             -          Brb.br.I1            -              717    1193    6009    5521    6031    5500   60207    -     1.4e-06   33.3   3.1  StxXX-converting phage Stx1_JNE110649 DNA, complete genome.
EU982300             -          Brb.br.I1            -             1802    1890    5794    5880    5727    5880   22689    +     7.8e-05   27.5   0.7  Pseudomonas phage DVM-2008, genomic sequence.
MT837010             -          Brb.br.I1            -                5     165    5958    5796    5962    5773   20244    -     8.7e-05   27.3   6.3  UNVERIFIED: Bacteriophage sp. clone scaffold_3628 genomic sequence.
MT836950             -          Brb.br.I1            -               23     201    9838   10017    9822   10044   12194    +     0.00024   25.9   4.1  UNVERIFIED: Bacteriophage sp. clone scaffold_3480 genomic sequence.
EU982300             -          Brb.br.I1            -               22     351    5213    5514    5193    5536   22689    +      0.0014   23.3  12.5  Pseudomonas phage DVM-2008, genomic sequence.
KT887559             -          Brb.br.I1            -              723    1186    1383    1834    1362    1856   32637    +      0.0024   22.6   7.1  Pseudomonas phage phi3, complete genome.
NC_030940            -          Brb.br.I1            -              723    1186    1383    1834    1362    1856   32637    +      0.0024   22.6   7.1  Pseudomonas phage phi3, complete genome.
MT836027             -          Brb.br.I1            -              813    1224    8637    8219    8695    8201   13768    -       0.012   20.3   6.8  UNVERIFIED: Bacteriophage sp. clone scaffold_1234 genomic sequence.
MT835684             -          Brb.br.I1            -                6     260   15791   15517   15796   15514   21788    -       0.014   20.0   5.2  UNVERIFIED: Bacteriophage sp. clone scaffold_438 genomic sequence.
MT836030             -          Brb.br.I1            -                3     108   12796   12689   12798   12644   13679    -         5.5   11.4   4.7  UNVERIFIED: Bacteriophage sp. clone scaffold_1245 genomic sequence.
OQ555808             -          Bu.ce.I1             -                2    1833   59511   61391   59510   61411   62663    +     4.3e-82  284.0 102.5  Mycobacterium phage Nanz197, complete genome.
MK448228             -          Bu.ce.I1             -              705    1180    1946    1463    1978    1429   46342    -     1.4e-17   70.3   8.7  Klebsiella phage ST15-VIM1phi2.1, complete genome.
ON470622             -          Bu.ce.I1             -              705    1180   41208   41691   41178   41723   46650    +     1.5e-17   70.2   8.7  Escherichia phage vB_EcoS-716R3, partial genome.
ON470608             -          Bu.ce.I1             -              705    1180    5443    4960    5473    4928   46651    -     5.4e-17   68.4   8.5  Escherichia phage vB_EcoS-733R5, complete genome.
MT835550             -          Bu.ce.I1             -              563    1204   10367   11032   10347   11082   34009    +     1.7e-13   56.8  13.2  UNVERIFIED: Bacteriophage sp. clone scaffold_153 genomic sequence.
LC727904             -          Bu.ce.I1             -              673    1170    6031    5522    6115    5501   60207    -     2.3e-12   53.1   3.8  StxXX-converting phage Stx1_JNE110649 DNA, complete genome.
KT887559             -          Bu.ce.I1             -              688    1164    1367    1834    1345    1862   32637    +     3.3e-11   49.3   8.1  Pseudomonas phage phi3, complete genome.
NC_030940            -          Bu.ce.I1             -              688    1164    1367    1834    1345    1862   32637    +     3.3e-11   49.3   8.1  Pseudomonas phage phi3, complete genome.
MT836027             -          Bu.ce.I1             -              699    1184    8735    8235    8755    8215   13768    -     2.5e-05   29.8   9.2  UNVERIFIED: Bacteriophage sp. clone scaffold_1234 genomic sequence.
AFYI01000007         -          Bu.ce.I1             -               21     105  178160  178076  178171  178056  501190    -      0.0018   23.6   2.9  Salmonella enterica subsp. enterica serovar Infantis str. SARB27 SEENIN0B_Contig0.7, whole genome shotgun sequence.
MT836320             -          Bu.ce.I1             -                2     203   10510   10707   10509   10729   11107    +      0.0082   21.5   4.8  UNVERIFIED: Bacteriophage sp. clone scaffold_1927 genomic sequence.
MT836484             -          Bu.ce.I1             -               94     269   12033   12212   12012   12233   13522    +       0.061   18.6   5.0  UNVERIFIED: Bacteriophage sp. clone scaffold_2312 genomic sequence.
LC778250             -          Bu.ce.I1             -              654    1204   35500   36047   35479   36140   57397    +         1.3   14.2   6.8  Aeromonas phage phiWae15 DNA, complete genome.
KT898134             -          Bu.ce.I1             -              684     984   37718   38027   37695   38201   60012    +           5   12.2   9.1  Aeromonas phage phiARM81mr, complete genome.
KF623294             -          Bu.ce.I1             -              611     721  164385  164263  164405  164243  218339    -         5.4   12.1   1.8  Erwinia phage PhiEaH1, complete genome.
NC_023610            -          Bu.ce.I1             -              611     721  164385  164263  164405  164243  218339    -         5.4   12.1   1.8  Erwinia phage PhiEaH1, complete genome.
OQ555808             -          Bu.f.I1              -                2    1845   59511   61402   59510   61410   62663    +     7.1e-75  260.1 102.1  Mycobacterium phage Nanz197, complete genome.
KT887559             -          Bu.f.I1              -              680    1162    1360    1833    1296    1860   32637    +     2.1e-15   63.2   9.8  Pseudomonas phage phi3, complete genome.
NC_030940            -          Bu.f.I1              -              680    1162    1360    1833    1296    1860   32637    +     2.1e-15   63.2   9.8  Pseudomonas phage phi3, complete genome.
MK448228             -          Bu.f.I1              -              689    1147    1962    1501    1985    1468   46342    -     7.2e-14   58.1   8.4  Klebsiella phage ST15-VIM1phi2.1, complete genome.
ON470622             -          Bu.f.I1              -              689    1147   41192   41653   41169   41686   46650    +     7.2e-14   58.1   8.4  Escherichia phage vB_EcoS-716R3, partial genome.
ON470608             -          Bu.f.I1              -              689    1147    5459    4998    5482    4965   46651    -     2.5e-13   56.3   8.2  Escherichia phage vB_EcoS-733R5, complete genome.
MT835550             -          Bu.f.I1              -              561    1297   10366   11127   10345   11176   34009    +     3.4e-12   52.5  16.0  UNVERIFIED: Bacteriophage sp. clone scaffold_153 genomic sequence.
LC727904             -          Bu.f.I1              -              608    1168    6095    5523    6132    5501   60207    -     5.9e-11   48.5   4.5  StxXX-converting phage Stx1_JNE110649 DNA, complete genome.
MT836320             -          Bu.f.I1              -                2     192   10510   10697   10509   10719   11107    +       0.027   19.8   4.3  UNVERIFIED: Bacteriophage sp. clone scaffold_1927 genomic sequence.
AFYI01000007         -          Bu.f.I1              -               22     104  178159  178077  178171  178057  501190    -        0.12   17.6   3.1  Salmonella enterica subsp. enterica serovar Infantis str. SARB27 SEENIN0B_Contig0.7, whole genome shotgun sequence.
KT898134             -          Bu.f.I1              -              678    1202   37713   38234   37690   38264   60012    +        0.55   15.4  10.2  Aeromonas phage phiARM81mr, complete genome.
OQ555808             -          Bu.f.I2              -                2    1833   59511   61393   59510   61409   62663    +     1.6e-82  285.5 101.1  Mycobacterium phage Nanz197, complete genome.
MK448228             -          Bu.f.I2              -              704    1169    1945    1487    1978    1444   46342    -       9e-13   54.5   8.6  Klebsiella phage ST15-VIM1phi2.1, complete genome.
ON470622             -          Bu.f.I2              -              704    1169   41209   41667   41176   41710   46650    +       9e-13   54.5   8.6  Escherichia phage vB_EcoS-716R3, partial genome.
ON470608             -          Bu.f.I2              -              704    1169    5442    4984    5475    4941   46651    -       2e-12   53.4   8.4  Escherichia phage vB_EcoS-733R5, complete genome.
KT887559             -          Bu.f.I2              -              697    1208    1381    1907    1361    1928   32637    +     7.4e-11   48.2   8.5  Pseudomonas phage phi3, complete genome.
NC_030940            -          Bu.f.I2              -              697    1208    1381    1907    1361    1928   32637    +     7.4e-11   48.2   8.5  Pseudomonas phage phi3, complete genome.
LC727904             -          Bu.f.I2              -              699    1163    6003    5527    6039    5507   60207    -     8.4e-11   48.0   3.9  StxXX-converting phage Stx1_JNE110649 DNA, complete genome.
MT835550             -          Bu.f.I2              -              690    1202   10493   11032   10451   11063   34009    +     5.1e-09   42.1  11.1  UNVERIFIED: Bacteriophage sp. clone scaffold_153 genomic sequence.
KT898134             -          Bu.f.I2              -              666    1229   37702   38272   37681   38339   60012    +     2.1e-05   30.1  13.8  Aeromonas phage phiARM81mr, complete genome.
AFYI01000007         -          Bu.f.I2              -               21     102  178160  178079  178171  178058  501190    -       0.017   20.5   3.2  Salmonella enterica subsp. enterica serovar Infantis str. SARB27 SEENIN0B_Contig0.7, whole genome shotgun sequence.
MT836027             -          Bu.f.I2              -              698    1190    8734    8229    8752    8207   13768    -        0.42   15.9   8.8  UNVERIFIED: Bacteriophage sp. clone scaffold_1234 genomic sequence.
MT836320             -          Bu.f.I2              -                2     204   10510   10709   10509   10730   11107    +         1.4   14.1   4.8  UNVERIFIED: Bacteriophage sp. clone scaffold_1927 genomic sequence.
EU982300             -          Bu.f.I2              -               22     183    5213    5373    5193    5395   22689    +         5.9   12.1  10.1  Pseudomonas phage DVM-2008, genomic sequence.
OQ555808             -          Bu.f.I3              -                2    1849   59511   61403   59510   61423   62663    +       2e-72  251.8 101.5  Mycobacterium phage Nanz197, complete genome.
KT887559             -          Bu.f.I3              -              692    1163    1374    1833    1348    1862   32637    +     1.7e-12   53.3   8.2  Pseudomonas phage phi3, complete genome.
NC_030940            -          Bu.f.I3              -              692    1163    1374    1833    1348    1862   32637    +     1.7e-12   53.3   8.2  Pseudomonas phage phi3, complete genome.
MK448228             -          Bu.f.I3              -              564    1154    2085    1495    2108    1462   46342    -     2.2e-12   53.0  10.7  Klebsiella phage ST15-VIM1phi2.1, complete genome.
ON470622             -          Bu.f.I3              -              564    1154   41069   41659   41046   41692   46650    +     2.2e-12   53.0  10.7  Escherichia phage vB_EcoS-716R3, partial genome.
ON470608             -          Bu.f.I3              -              564    1154    5582    4992    5605    4959   46651    -     7.3e-12   51.2  10.5  Escherichia phage vB_EcoS-733R5, complete genome.
MT835550             -          Bu.f.I3              -              562    1151   10366   10958   10357   11057   34009    +       8e-11   47.8  13.0  UNVERIFIED: Bacteriophage sp. clone scaffold_153 genomic sequence.
LC727904             -          Bu.f.I3              -              540    1167    6140    5525    6162    5505   60207    -     4.6e-10   45.3   4.9  StxXX-converting phage Stx1_JNE110649 DNA, complete genome.
MT836320             -          Bu.f.I3              -                2     204   10510   10709   10509   10730   11107    +       0.063   18.3   4.6  UNVERIFIED: Bacteriophage sp. clone scaffold_1927 genomic sequence.
MT836027             -          Bu.f.I3              -              700    1168    8734    8251    8754    8225   13768    -       0.065   18.3   8.3  UNVERIFIED: Bacteriophage sp. clone scaffold_1234 genomic sequence.
AFYI01000007         -          Bu.f.I3              -               23     103  178158  178078  178172  178056  501190    -        0.54   15.3   2.6  Salmonella enterica subsp. enterica serovar Infantis str. SARB27 SEENIN0B_Contig0.7, whole genome shotgun sequence.
MT836484             -          Bu.f.I3              -              121     269   12062   12212   12040   12233   13522    +         1.7   13.6   5.5  UNVERIFIED: Bacteriophage sp. clone scaffold_2312 genomic sequence.
OQ555808             -          Bu.vi.I1             -                2    1828   59511   61398   59508   61409   62663    +     2.2e-94  324.5 100.3  Mycobacterium phage Nanz197, complete genome.
LC727904             -          Bu.vi.I1             -              661    1157    6027    5519    6049    5505   60207    -     1.4e-12   53.7   3.3  StxXX-converting phage Stx1_JNE110649 DNA, complete genome.
KT887559             -          Bu.vi.I1             -              682    1194    1380    1907    1359    1929   32637    +     3.9e-10   45.5   7.9  Pseudomonas phage phi3, complete genome.
NC_030940            -          Bu.vi.I1             -              682    1194    1380    1907    1359    1929   32637    +     3.9e-10   45.5   7.9  Pseudomonas phage phi3, complete genome.
MT835550             -          Bu.vi.I1             -              546    1187   10366   11031   10326   11052   34009    +     6.5e-08   38.2  11.6  UNVERIFIED: Bacteriophage sp. clone scaffold_153 genomic sequence.
MK448228             -          Bu.vi.I1             -              594    1133    2042    1500    2063    1475   46342    -     1.5e-07   37.0  10.7  Klebsiella phage ST15-VIM1phi2.1, complete genome.
ON470622             -          Bu.vi.I1             -              594    1133   41112   41654   41091   41679   46650    +     1.5e-07   37.0  10.7  Escherichia phage vB_EcoS-716R3, partial genome.
ON470608             -          Bu.vi.I1             -              594    1133    5539    4997    5560    4972   46651    -     4.1e-07   35.5  10.5  Escherichia phage vB_EcoS-733R5, complete genome.
AFYI01000007         -          Bu.vi.I1             -               21     104  178160  178077  178171  178056  501190    -      0.0044   22.2   2.9  Salmonella enterica subsp. enterica serovar Infantis str. SARB27 SEENIN0B_Contig0.7, whole genome shotgun sequence.
MT836320             -          Bu.vi.I1             -                2     200   10510   10704   10509   10727   11107    +      0.0062   21.7   4.5  UNVERIFIED: Bacteriophage sp. clone scaffold_1927 genomic sequence.
MT836027             -          Bu.vi.I1             -              683    1158    8735    8245    8756    8220   13768    -        0.02   20.0   9.2  UNVERIFIED: Bacteriophage sp. clone scaffold_1234 genomic sequence.
LC778250             -          Bu.vi.I1             -              669    1192   35531   36051   35480   36076   57397    +        0.17   16.9   6.3  Aeromonas phage phiWae15 DNA, complete genome.
LC667451             -          Bu.vi.I1             -             1091    1326  300648  300398  300668  300377  321833    -         4.4   12.3   4.1  Burkholderia phage FLC9 DNA, complete genome.
MT836484             -          Bu.vi.I1             -              116     269   12056   12212   12033   12235   13522    +         4.9   12.1   5.6  UNVERIFIED: Bacteriophage sp. clone scaffold_2312 genomic sequence.
OQ555808             -          Bu.vi.I2             -                2    1864   59511   61403   59510   61409   62663    +       3e-80  277.6 100.1  Mycobacterium phage Nanz197, complete genome.
MT835550             -          Bu.vi.I2             -              567    1211   10367   11032   10347   11070   34009    +     4.7e-13   55.1  12.3  UNVERIFIED: Bacteriophage sp. clone scaffold_153 genomic sequence.
LC727904             -          Bu.vi.I2             -              618    1167    6081    5532    6114    5511   60207    -     7.6e-12   51.1   3.9  StxXX-converting phage Stx1_JNE110649 DNA, complete genome.
MT836027             -          Bu.vi.I2             -              711    1165    8727    8261    8747    8240   13768    -     9.9e-07   34.1   9.0  UNVERIFIED: Bacteriophage sp. clone scaffold_1234 genomic sequence.
ON470608             -          Bu.vi.I2             -              690    1211    5463    4918    5484    4889   46651    -     1.7e-06   33.3   8.3  Escherichia phage vB_EcoS-733R5, complete genome.
MK448228             -          Bu.vi.I2             -              690    1211    1966    1421    1987    1392   46342    -     1.8e-06   33.3   8.4  Klebsiella phage ST15-VIM1phi2.1, complete genome.
ON470622             -          Bu.vi.I2             -              690    1211   41188   41733   41167   41762   46650    +     1.8e-06   33.3   8.4  Escherichia phage vB_EcoS-716R3, partial genome.
EU982300             -          Bu.vi.I2             -             1426    1864    5409    5875    5389    5880   22689    +     1.9e-06   33.2   7.6  Pseudomonas phage DVM-2008, genomic sequence.
MT837010             -          Bu.vi.I2             -               10     159    5953    5802    5961    5782   20244    -     0.00025   26.2   5.9  UNVERIFIED: Bacteriophage sp. clone scaffold_3628 genomic sequence.
MT836950             -          Bu.vi.I2             -               26     158    9841    9974    9823    9995   12194    +      0.0026   22.8   2.8  UNVERIFIED: Bacteriophage sp. clone scaffold_3480 genomic sequence.
EU982300             -          Bu.vi.I2             -               23     152    5214    5342    5198    5363   22689    +      0.0052   21.8   8.4  Pseudomonas phage DVM-2008, genomic sequence.
KT887559             -          Bu.vi.I2             -              710    1180    1388    1843    1367    1864   32637    +       0.089   17.7   7.2  Pseudomonas phage phi3, complete genome.
NC_030940            -          Bu.vi.I2             -              710    1180    1388    1843    1367    1864   32637    +       0.089   17.7   7.2  Pseudomonas phage phi3, complete genome.
MT836320             -          Bu.vi.I2             -                2     161   10510   10668   10509   10705   11107    +        0.87   14.4   3.6  UNVERIFIED: Bacteriophage sp. clone scaffold_1927 genomic sequence.
ON107264             -          Bu.vi.I2             -              696    1119   86119   86536   86099   86577  133818    +         2.2   13.1  11.4  Bacillus phage BUCT083, complete genome.
MT836484             -          Bu.vi.I2             -              120     309   12058   12232   12038   12310   13522    +         4.8   12.0   6.7  UNVERIFIED: Bacteriophage sp. clone scaffold_2312 genomic sequence.
AGRM01000002         -          Bu.vi.I2             -             1346    1627  561625  561316  561649  561292  691452    -           9   11.1   5.6  Salmonella enterica subsp. houtenae str. ATCC BAA-1581 SEHO0AFNL_Contig0.2, whole genome shotgun sequence.
OQ555808             -          Bu.xe.I1             -                2    1833   59511   61393   59510   61409   62663    +     1.6e-82  285.5 101.1  Mycobacterium phage Nanz197, complete genome.
MK448228             -          Bu.xe.I1             -              704    1169    1945    1487    1978    1444   46342    -       9e-13   54.5   8.6  Klebsiella phage ST15-VIM1phi2.1, complete genome.
ON470622             -          Bu.xe.I1             -              704    1169   41209   41667   41176   41710   46650    +       9e-13   54.5   8.6  Escherichia phage vB_EcoS-716R3, partial genome.
ON470608             -          Bu.xe.I1             -              704    1169    5442    4984    5475    4941   46651    -       2e-12   53.4   8.4  Escherichia phage vB_EcoS-733R5, complete genome.
KT887559             -          Bu.xe.I1             -              697    1208    1381    1907    1361    1928   32637    +     7.4e-11   48.2   8.5  Pseudomonas phage phi3, complete genome.
NC_030940            -          Bu.xe.I1             -              697    1208    1381    1907    1361    1928   32637    +     7.4e-11   48.2   8.5  Pseudomonas phage phi3, complete genome.
LC727904             -          Bu.xe.I1             -              699    1163    6003    5527    6039    5507   60207    -     8.4e-11   48.0   3.9  StxXX-converting phage Stx1_JNE110649 DNA, complete genome.
MT835550             -          Bu.xe.I1             -              690    1202   10493   11032   10451   11063   34009    +     5.1e-09   42.1  11.1  UNVERIFIED: Bacteriophage sp. clone scaffold_153 genomic sequence.
KT898134             -          Bu.xe.I1             -              666    1229   37702   38272   37681   38339   60012    +     2.1e-05   30.1  13.8  Aeromonas phage phiARM81mr, complete genome.
AFYI01000007         -          Bu.xe.I1             -               21     102  178160  178079  178171  178058  501190    -       0.017   20.5   3.2  Salmonella enterica subsp. enterica serovar Infantis str. SARB27 SEENIN0B_Contig0.7, whole genome shotgun sequence.
MT836027             -          Bu.xe.I1             -              698    1190    8734    8229    8752    8207   13768    -        0.42   15.9   8.8  UNVERIFIED: Bacteriophage sp. clone scaffold_1234 genomic sequence.
MT836320             -          Bu.xe.I1             -                2     204   10510   10709   10509   10730   11107    +         1.4   14.1   4.8  UNVERIFIED: Bacteriophage sp. clone scaffold_1927 genomic sequence.
