gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
CP133956.1_383	419487	420140	654	1	0.410	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_384	420245	421243	999	-1	0.461	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_385	421240	422145	906	-1	0.470	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_386	422275	423213	939	-1	0.427	11	AGGAG	GENOMAD.147125.CP	1.981e-07	55	0	0	0	1	NA	NA	NA	PF01497;COG4607;TIGR03659;K23181	ABC-type enterochelin transport system, periplasmic component
CP133956.1_387	423238	424017	780	-1	0.449	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_388	424277	425722	1446	-1	0.454	11	AGGA/GGAG/GAGG	GENOMAD.097666.CP	7.862e-10	64	1	0	0	2561	Caudoviricetes	NA	NA	PF16292;PF02875;COG0769;TIGR01085;K01928	UDP-N-acetylmuramyl tripeptide synthase
CP133956.1_389	425808	427439	1632	1	0.439	11	AGGA	GENOMAD.136254.CP	5.114e-100	339	0	0	0	1	NA	NA	NA	PF16933;K06409;TIGR02900;COG0728	stage V sporulation protein B
CP133956.1_390	427589	428218	630	1	0.446	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_391	428416	429039	624	1	0.423	11	GGAG/GAGG	GENOMAD.050563.VV	2.65e-09	59	0	0	0	2561	Caudoviricetes	NA	NA	PF10902;TIGR00493	WYL_2, Sm-like SH3 beta-barrel fold
CP133956.1_392	429144	429590	447	1	0.454	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_393	429591	429875	285	1	0.407	11	GGA/GAG/AGG	GENOMAD.013958.CC	4.394e-10	57	0	0	0	1	NA	NA	NA	PF09902;COG4471	Uncharacterized protein YlbG, UPF0298 family
CP133956.1_394	430191	430826	636	1	0.461	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_395	430840	431715	876	1	0.427	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_396	431712	432512	801	1	0.448	11	None	GENOMAD.000309.CC	6.45e-32	128	0	0	0	2561	Caudoviricetes	NA	NA	PF04468;COG1774	Cell fate regulator YaaT, PSP1 superfamily (controls sporulation, competence, biofilm development)
CP133956.1_397	432505	432828	324	1	0.407	11	AGGAGG	GENOMAD.137996.CV	4.359e-31	118	0	0	0	1	NA	NA	NA	PF06156;COG4467	Regulator of replication initiation timing
CP133956.1_398	432833	433699	867	1	0.466	11	AGxAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_399	434419	434619	201	1	0.393	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_400	434620	434820	201	1	0.274	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_401	435287	435880	594	1	0.455	11	GGA/GAG/AGG	GENOMAD.172060.CP	1.622e-18	86	0	0	0	1	NA	NA	NA	PF16244;COG3212	Uncharacterized membrane protein YkoI
CP133956.1_402	436220	437725	1506	1	0.450	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_403	437899	438543	645	1	0.445	11	GGAGG	GENOMAD.031103.VV	1.217e-18	87	0	0	0	2561	Caudoviricetes	NA	NA	PF00923;K08314;TIGR00875;COG0176	fructose-6-phosphate aldolase, TalC/MipB family
CP133956.1_404	438927	440915	1989	1	0.483	11	GGAG/GAGG	GENOMAD.129164.CP	6.198e-17	88	0	0	0	1	NA	NA	NA	PF00456;PF17831;PF09363;TIGR00232;COG0021;K00615	transketolase, bacterial and yeast
CP133956.1_405	441097	442545	1449	-1	0.541	11	AGGAG	GENOMAD.108436.VV	5.949e-22	103	0	0	0	2561	Caudoviricetes	NA	NA	K24213	NA
CP133956.1_406	442916	443173	258	1	0.411	11	GGAG/GAGG	GENOMAD.191196.PC	0.0001176	41	0	0	0	1	NA	NA	NA	PF08951	Enterocin A Immunity
CP133956.1_407	443210	443941	732	1	0.444	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_408	443946	445574	1629	1	0.421	11	AGGAGG	GENOMAD.169571.CP	1.057e-166	533	0	0	0	1	NA	NA	NA	COG3368	Predicted permease
CP133956.1_409	446085	446804	720	-1	0.368	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_410	446811	447614	804	-1	0.405	11	None	GENOMAD.224170.VP	0.0004032	44	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_411	447638	448153	516	-1	0.386	11	GGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_412	448173	448634	462	-1	0.396	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_413	449234	450052	819	1	0.430	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_414	450052	451299	1248	1	0.459	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_415	451319	451735	417	1	0.422	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_416	451838	452788	951	1	0.455	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_417	452792	453115	324	1	0.420	11	GGA/GAG/AGG	GENOMAD.032492.CC	3.556e-33	124	0	0	0	1	NA	NA	NA	PF19579;COG4839;TIGR02209	Cell division protein FtsL
CP133956.1_418	453119	455374	2256	1	0.438	11	AGxAGG/AGGxGG	GENOMAD.012130.CC	2.819e-19	96	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_419	455376	456383	1008	1	0.425	11	AGGAG	GENOMAD.072605.CV	7.601e-39	151	1	0	0	2561	Caudoviricetes	NA	NA	K01000;COG0472	UDP-N-acetylmuramyl pentapeptide phosphotransferase/UDP-N-acetylglucosamine-1-phosphate transferase
CP133956.1_420	456466	457809	1344	1	0.435	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_421	458450	458905	456	-1	0.395	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_422	459413	460240	828	1	0.430	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_423	460617	461420	804	1	0.434	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_424	461420	462163	744	1	0.409	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_425	462273	462500	228	1	0.368	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_426	462560	463477	918	1	0.434	11	AGGAG	GENOMAD.123132.CP	0.0001244	46	0	0	0	1	NA	NA	NA	PF13738;K17870;TIGR04018;COG1251	putative bacillithiol system oxidoreductase, YpdA family
CP133956.1_427	463597	464991	1395	1	0.429	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_428	465267	466727	1461	1	0.425	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_429	466724	467548	825	1	0.459	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_430	468237	469571	1335	1	0.419	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_431	469614	471779	2166	-1	0.447	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_432	471766	472374	609	-1	0.396	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_433	472450	472965	516	1	0.417	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_434	473087	473410	324	1	0.420	11	GGAG/GAGG	GENOMAD.102358.CP	5.918e-28	109	0	0	0	1	NA	NA	NA	PF05103;K04074;COG3599;TIGR03544	DivIVA protein
CP133956.1_435	473855	475009	1155	1	0.441	11	4Base/6BMM	GENOMAD.102311.CP	5.85e-30	126	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_436	475023	476474	1452	1	0.440	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_437	476619	477104	486	-1	0.451	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_438	477261	478871	1611	1	0.453	11	GGAG/GAGG	GENOMAD.090871.CV	5.367e-95	324	0	0	0	2561	Caudoviricetes	NA	NA	PF12917;COG3294;TIGR00488;K06951	Metal-dependent phosphatase/phosphodiesterase, HD supefamily
CP133956.1_439	479033	479659	627	1	0.442	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_440	479684	480001	318	1	0.409	11	GGA/GAG/AGG	GENOMAD.001677.CC	1.376e-10	59	0	0	0	1	NA	NA	NA	PF01192;COG1758;K03060;TIGR00690	DNA-directed RNA polymerase, subunit K/omega
CP133956.1_441	480065	482449	2385	1	0.444	11	AGGA	GENOMAD.101878.CP	1.715e-56	216	0	0	0	2561	Caudoviricetes	NA	NA	PF18074;PF00271	Primosomal protein N C-terminal domain; Helicase conserved C-terminal domain
CP133956.1_442	482516	483451	936	1	0.454	11	GGAG/GAGG	GENOMAD.081094.CV	5.104e-19	91	0	0	0	2561	Caudoviricetes	NA	NA	PF00551;K03500;COG0223;TIGR00460	Methionyl-tRNA formyltransferase
CP133956.1_443	483435	484763	1329	1	0.441	11	GGAG/GAGG	GENOMAD.037968.CC	1.391e-90	307	0	0	0	2561	Caudoviricetes	NA	NA	PF01189;PF01029;PF17125;TIGR00563;K03500;COG0144	16S rRNA (cytosine(967)-C(5))-methyltransferase
CP133956.1_444	484801	485541	741	1	0.416	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_445	485538	487433	1896	1	0.447	11	GGA/GAG/AGG	GENOMAD.134115.CP	3.362e-22	105	0	0	0	1	NA	NA	NA	PF07714;PF01841;K08884;TIGR03903;COG0515	TOMM system kinase/cyclase fusion protein
CP133956.1_446	487566	488258	693	1	0.374	11	AGGA	GENOMAD.183854.CP	6.576e-119	378	0	0	0	1	NA	NA	NA	PF09922;K11622;COG4758	Predicted membrane protein
CP133956.1_447	488255	489259	1005	1	0.401	11	AGxAGG/AGGxGG	GENOMAD.125901.CP	8.062e-11	66	0	0	0	1	NA	NA	NA	PF04340;PF14501;K07682;COG4251;TIGR01817	Bacteriophytochrome (light-regulated signal transduction histidine kinase)
CP133956.1_448	489252	489893	642	1	0.405	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_449	489926	491326	1401	1	0.439	11	GGAGG	GENOMAD.145366.CP	8.805e-11	67	0	0	0	1	NA	NA	NA	PF02358;K21064;TIGR02463;COG0561	mannosyl-3-phosphoglycerate phosphatase-related protein
CP133956.1_450	491326	491688	363	1	0.410	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_451	492075	493001	927	-1	0.458	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_452	493122	493763	642	-1	0.425	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_453	493819	495141	1323	1	0.432	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_454	495208	495363	156	1	0.474	11	AGGA/GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_455	495360	495782	423	1	0.400	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_456	495858	496406	549	1	0.372	11	GGAG/GAGG	GENOMAD.103040.CV	6.668e-25	104	0	0	0	1	NA	NA	NA	PF02482;PF16321;K05808;TIGR00741;COG1544	ribosomal subunit interface protein
CP133956.1_457	502646	503173	528	-1	0.409	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_458	503219	503905	687	-1	0.445	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_459	505040	505351	312	-1	0.404	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_460	505601	506134	534	-1	0.371	11	None	GENOMAD.170014.CP	9.807e-17	80	0	0	0	1	NA	NA	NA	PF04167;K07586;COG3557	Uncharacterized protein associated with RNAses G and E,  UPF0374/DUF402 family
CP133956.1_461	506367	507143	777	-1	0.403	11	None	GENOMAD.001082.CC	1.454e-25	109	0	0	0	1	NA	NA	NA	PF02631;COG2137	SOS response regulatory protein OraA/RecX, interacts with RecA
CP133956.1_462	507207	508175	969	1	0.408	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_463	508172	509539	1368	1	0.442	11	None	GENOMAD.142146.VC	7.078e-10	64	0	0	0	12031	Mimiviridae	NA	NA	PF05958;TIGR02085;COG2265;K03212	23S rRNA (uracil-5-)-methyltransferase RumB
CP133956.1_464	509860	510117	258	1	0.430	11	GGAGG	GENOMAD.208847.PC	0.0002629	40	0	0	0	1	NA	NA	NA	PF10439;K20324;TIGR01847	Bacteriocin class II with double-glycine leader peptide
CP133956.1_465	510134	510337	204	1	0.426	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_466	510327	510485	159	1	0.239	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_467	510964	511713	750	1	0.373	11	GGA/GAG/AGG	GENOMAD.161656.PP	3.87e-05	47	0	0	0	1	NA	NA	NA	PF04397	LytTr DNA-binding domain
CP133956.1_468	511713	513047	1335	1	0.356	11	AGGAG	GENOMAD.183323.CP	1.146e-105	351	0	0	0	1	NA	NA	NA	PF14689;PF14501;K07706;COG3920;TIGR01924	Two-component sensor histidine kinase, HisKA and HATPase domains
CP133956.1_469	513169	513300	132	-1	0.386	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_470	513400	514758	1359	-1	0.385	11	AGGAG	GENOMAD.168013.PC	3.486e-81	280	0	0	0	1	NA	NA	NA	PF00529;K12293;TIGR01000;COG1566	bacteriocin secretion accessory protein
CP133956.1_471	514769	516925	2157	-1	0.399	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_472	517185	517403	219	1	0.370	11	AGxAGG/AGGxGG	GENOMAD.043623.PP	6.65e-12	61	0	0	0	1	NA	NA	NA	PF01721;PF03047;TIGR01847	Class II bacteriocin; COMC family
CP133956.1_473	517403	517699	297	1	0.397	11	AGxAGG/AGGxGG	GENOMAD.206764.PC	1.237e-16	76	0	0	0	1	NA	NA	NA	PF08951	Enterocin A Immunity
CP133956.1_474	517852	518100	249	1	0.373	11	AGGAG	GENOMAD.146157.PP	2.633e-10	57	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_475	518107	518403	297	1	0.343	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_476	519145	519399	255	1	0.443	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_477	519389	519619	231	1	0.424	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_478	519938	520453	516	1	0.386	11	GGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_479	520477	521280	804	1	0.405	11	None	GENOMAD.224170.VP	0.0004032	44	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_480	521713	522126	414	1	0.365	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_481	522386	522967	582	1	0.469	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_482	523377	523523	147	1	0.422	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_483	523772	525775	2004	1	0.388	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_484	525772	526380	609	1	0.397	11	AGGAG(G)/GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_485	526569	529295	2727	-1	0.472	11	GGA/GAG/AGG	GENOMAD.146002.CP	1.5e-134	455	0	0	0	1	NA	NA	NA	PF01074;PF07748;PF09261;PF17677;PF18438;K15524;COG0383	Alpha-mannosidase
CP133956.1_486	529310	530596	1287	-1	0.476	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_487	530729	531787	1059	1	0.456	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_488	531802	533496	1695	1	0.464	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_489	533523	534914	1392	1	0.453	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_490	534901	535038	138	1	0.406	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_491	535234	537408	2175	-1	0.462	11	AGGA	GENOMAD.145622.CP	6.693e-87	307	0	0	0	2561	Caudoviricetes	NA	NA	PF07971;PF17678;TIGR01180;COG3537	alpha-1,2-mannosidase, putative
CP133956.1_492	537396	538289	894	-1	0.469	11	AGGAGG	GENOMAD.129308.CP	2.415e-10	64	0	0	0	2561	Caudoviricetes	NA	NA	PF02685;TIGR00744;K00845;COG0837	ROK family protein (putative glucokinase)
CP133956.1_493	538501	539451	951	1	0.392	11	GGAGG	GENOMAD.119384.CP	0.000558	44	0	0	0	1	NA	NA	NA	PF00528;K02054;COG4132;TIGR01253	ABC-type uncharacterized transport system, permease component
CP133956.1_494	539461	540387	927	1	0.419	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_495	540471	541916	1446	1	0.420	11	AGGAGG	GENOMAD.194798.PC	5.5e-48	183	0	0	0	1	NA	NA	NA	PF02030;K17318;TIGR03850;COG2182	carbohydrate ABC transporter substrate-binding protein, CPR_0540 family
CP133956.1_496	542264	542869	606	1	0.419	11	AGGA	GENOMAD.053564.CC	9.728e-29	116	0	0	0	1	NA	NA	NA	PF04854;COG5578	Uncharacterized membrane protein YesL
CP133956.1_497	542859	544583	1725	1	0.442	11	GGAG/GAGG	GENOMAD.130403.CP	3.608e-08	59	0	0	0	1	NA	NA	NA	PF14501;COG3920;K07650;TIGR02966	Two-component sensor histidine kinase, HisKA and HATPase domains
CP133956.1_498	544583	546067	1485	1	0.417	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_499	546081	549524	3444	1	0.474	11	GGA/GAG/AGG	GENOMAD.145692.CP	2.265e-08	61	0	0	0	1	NA	NA	NA	K01190;COG3250	Beta-galactosidase/beta-glucuronidase
CP133956.1_500	549675	550559	885	1	0.489	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_501	550685	551458	774	1	0.416	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_502	551790	552872	1083	-1	0.436	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_503	552931	553686	756	-1	0.421	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_504	554124	554294	171	1	0.298	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_505	555795	556049	255	1	0.380	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_506	556071	556571	501	1	0.447	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_507	556637	556834	198	1	0.429	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_508	556831	557415	585	1	0.470	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_509	557615	558178	564	1	0.332	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_510	558191	560842	2652	1	0.473	11	AGGA	GENOMAD.044828.VV	0.0002891	47	0	0	0	2561	Caudoviricetes	NA	NA	PF18858	Large polyvalent protein associated domain 39
CP133956.1_511	560938	561093	156	1	0.481	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_512	561056	561544	489	1	0.470	11	AGxAGG/AGGxGG	GENOMAD.170420.CP	9.165e-10	59	0	0	0	1	NA	NA	NA	COG3034	Murein L,D-transpeptidase YafK
CP133956.1_513	561747	562151	405	-1	0.294	11	GGA/GAG/AGG	GENOMAD.140865.VV	6.854e-13	67	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_514	562196	562546	351	-1	0.313	11	AGGA	GENOMAD.140865.VV	5.077e-09	55	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_515	563057	563293	237	1	0.477	11	AGGAG	GENOMAD.219343.VV	1.989e-33	123	0	0	0	2561	Caudoviricetes	NA	NA	PF11195	NA
CP133956.1_516	563286	563984	699	1	0.486	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_517	564184	564336	153	1	0.464	11	GGAG/GAGG	GENOMAD.177660.PC	1.076e-05	42	0	0	0	1	NA	NA	NA	PF04266;COG4405	Predicted RNA-binding protein YhfF, contains PUA-like ASCH domain
CP133956.1_518	564382	564642	261	1	0.441	11	AGGA/GGAG/GAGG	GENOMAD.177660.PC	5.827e-19	82	0	0	0	1	NA	NA	NA	PF04266;COG4405	Predicted RNA-binding protein YhfF, contains PUA-like ASCH domain
CP133956.1_519	564643	565617	975	1	0.444	11	AGGAG	GENOMAD.167358.CP	6.812e-05	47	0	0	0	1	NA	NA	NA	PF16490;PF01408;TIGR04380;COG0673;K18855	inositol 2-dehydrogenase
CP133956.1_520	565973	567355	1383	1	0.503	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_521	567386	567940	555	1	0.440	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_522	567940	568188	249	1	0.418	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_523	568212	568913	702	1	0.469	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_524	569007	569495	489	1	0.374	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_525	569492	570358	867	1	0.396	11	AGGA/GGAG/GAGG	GENOMAD.224170.VP	0.0004694	44	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_526	570410	571057	648	-1	0.410	11	GGA/GAG/AGG	GENOMAD.126020.CP	2.506e-20	92	0	0	0	1	NA	NA	NA	PF02742;PF04023;PF18357;K03709;COG1321;TIGR04472	Iron dependent repressor, metal binding and dimerisation domain; FeoA domain; Diphteria toxin repressor SH3 domain
CP133956.1_527	571203	572135	933	1	0.399	11	AGGAG	GENOMAD.161114.CP	3.05e-05	48	0	0	0	1	NA	NA	NA	PF01297;K02077;COG4531	ABC-type Zn2+ transport system, periplasmic component/surface adhesin
CP133956.1_528	572195	572920	726	1	0.416	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_529	572948	573754	807	1	0.411	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_530	573910	574716	807	-1	0.414	11	AGGAG	GENOMAD.089032.CP	4.442e-15	78	0	0	0	2561	Caudoviricetes	NA	NA	PF00160;COG0652;K03767	Peptidyl-prolyl cis-trans isomerase (rotamase) - cyclophilin family
CP133956.1_531	574803	574976	174	-1	0.425	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_532	575054	577495	2442	1	0.452	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_533	577870	578325	456	1	0.309	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_534	579159	579905	747	-1	0.384	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_535	580192	580617	426	1	0.413	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_536	580723	581412	690	1	0.429	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_537	581656	583026	1371	-1	0.422	11	AGGAG	GENOMAD.089557.VV	9.965e-12	70	0	0	0	2561	Caudoviricetes	NA	NA	K03987	NA
CP133956.1_538	583528	585150	1623	1	0.424	11	None	GENOMAD.142032.CP	1.392e-11	70	0	0	0	1	NA	NA	NA	PF00496;TIGR02294;K13889;COG4166	nickel ABC transporter, nickel/metallophore periplasmic binding protein
CP133956.1_539	585228	586169	942	1	0.436	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_540	586154	586960	807	1	0.445	11	AGGAG	GENOMAD.145498.CP	3.779e-11	66	0	0	0	1	NA	NA	NA	PF00528;COG4239;K15586;TIGR02790	ABC-type microcin C transport system, permease component YejE
CP133956.1_541	586948	587736	789	1	0.447	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_542	587723	588403	681	1	0.455	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_543	588702	589430	729	1	0.453	11	AGGAG	GENOMAD.000060.CC	8.635e-60	208	1	0	0	1	NA	NA	NA	PF00696;K09903;TIGR02075;COG0528	uridylate kinase
CP133956.1_544	589467	590024	558	1	0.428	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_545	590158	591015	858	1	0.446	11	None	GENOMAD.109393.CP	2.101e-69	238	0	0	0	1	NA	NA	NA	PF13509;PF10771;K00243;COG2996;TIGR00717	Predicted RNA-binding protein, contains S1 domains,  virulence factor B family
CP133956.1_546	591353	591862	510	1	0.475	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_547	591859	592074	216	1	0.449	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_548	592177	593277	1101	1	0.435	11	AGGA	GENOMAD.098341.VV	1.04e-10	66	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_549	593324	593899	576	1	0.477	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_550	593954	594580	627	1	0.450	11	GGAG/GAGG	GENOMAD.182128.CP	0.0001055	45	0	0	0	1	NA	NA	NA	PF06475;PF07617;PF13302;COG3554;K03817;TIGR03585	Putative glycolipid-binding; Acetyltransferase (GNAT) domain
