#This annotation file adds bars which indicate the length of the viral genome.

DATASET_SIMPLEBAR

SEPARATOR TAB

DATASET_LABEL	Genome Length (KB)
OP114734	166.422
OP114733	168.078
ON975036	165.897
OQ359892	70.977
OQ359891	71.436
OQ359890	113.248
OQ359889	113.742
OQ359888	111.604
OQ359887	160.221
OQ359886	51.921
OQ359885	49.758
OQ359884	157.767
OQ359883	157.79
OP329100	37.343
OQ420427	139.913
OQ267593	60.324
OQ267592	49.111
OQ267591	176.202
ON960072	43.713
MZ150786	71.459
OQ025076	78.626
OQ032512	136.56
OP120783	49.076
OP117450	43.332
MW056502	41.953
MW056501	40.535
OP594307	43.513
ON045087	61.839
OQ267696	37.871
OQ267695	45.715
OQ201593	42.068
OP688485	111.373
MW846279	43.417
OQ331036	172.865
OQ319036	42.566
OQ240260	40.939
OQ240255	30.483
OQ240254	35.036
OQ240253	40.04
OQ240252	38.213
OQ362005	112.942
ON323491	79.572
OM293958	41.615
OM293957	44.059
OM293956	40.972
OM293955	40.308
OM293954	43.144
OM293953	43.121
OM293952	39.977
OM293951	39.087
OM293950	39.795
NC_004680	59.472
OP831581	58.343
OM728304	158.047
OM728303	157.489
OM728302	157.566
OM728301	159.671
OM728300	162.057
OM728299	146.929
OM728298	148.32
OM728297	251.286
OM728296	129.523
OM816837	44.812
OM816836	38.367
OM816835	43.947
OM816834	43.947
OQ338185	39.181
OQ349392	167.059
OQ317942	52.629
OQ269668	42.838
OQ269649	41.054
OQ268095	46.71
OQ230793	42.029
OQ187816	25.439
OQ031071	49.044
ON741189	52.432
ON366411	154.884
ON366410	43.14
MW364975	44.592
MW364974	42.498
MW364973	43.266
MW364972	42.46
MW364971	42.935
MH844528	150.39
KJ206560	139.656
OP792756	61.443
OQ341635	113.775
OQ183418	107.173
NC_071157	47.997
NC_071156	46.373
NC_071155	48.19
NC_071154	46.1
NC_071153	46.774
NC_071152	47.956
NC_071151	48.258
NC_071150	48.49
NC_071148	45.716
NC_071147	45.696
NC_071146	46.218
NC_071145	47.72
NC_071144	48.05
NC_071143	48.082
NC_071142	46.281
NC_071141	49.371
NC_071140	48.021
NC_071139	48.245
NC_071138	47.797
NC_071137	49.482
NC_071136	48.837
NC_071135	47.129
NC_071134	48.129
NC_071133	49.37
NC_071132	50.707
NC_071131	48.833
NC_071130	47.333
NC_071129	49.532
NC_071128	49.169
NC_071085	34.825
NC_071084	34.289
NC_071083	35.913
NC_071082	36.587
NC_071081	35.056
NC_071080	34.469
NC_071079	36.931
NC_071078	35.688
NC_071077	35.786
NC_071076	37.594
NC_071075	34.123
NC_071074	34.907
NC_071073	38.139
NC_071072	36.775
NC_071071	36.471
NC_071070	36.49
NC_071069	37.08
NC_071068	40.404
NC_071067	38.383
NC_071066	35.543
NC_071065	36.876
NC_071064	39.384
NC_071063	35.353
NC_071062	33.791
NC_071061	42.019
NC_071060	35.153
NC_071059	35.966
NC_071058	34.785
NC_071057	33.507
NC_071056	34.58
NC_071055	32.092
NC_071054	34.932
NC_071053	33.245
NC_071052	33.953
NC_071051	34.556
NC_071050	165.868
NC_071049	160.59
NC_071048	161.151
NC_071047	164.998
NC_071046	160.928
NC_071045	168.638
NC_071044	166.879
NC_071043	160.627
NC_071042	167.995
NC_071041	165.667
NC_071040	168.689
NC_071038	110.591
NC_071037	39.433
NC_071036	47.545
NC_071035	40.873
NC_071034	42.622
NC_071033	44.354
NC_071032	41.823
NC_071031	41.85
NC_071030	44.124
NC_071029	43.471
NC_071028	43.1
NC_071027	43.792
NC_071026	44.111
NC_071025	44.284
NC_071024	44.204
NC_071023	43.055
NC_071022	40.447
NC_071021	61.86
NC_071020	61.662
NC_071019	62.354
NC_071018	61.427
NC_071017	60.789
NC_071016	36.396
NC_071015	253.74
NC_071014	90.743
NC_071013	56.744
NC_071012	57.099
NC_071011	56.858
NC_071010	86.124
NC_071009	38.505
NC_071008	44.715
NC_071007	234.546
NC_071006	88.657
NC_071005	91.072
NC_071004	57.664
NC_071003	47.816
NC_071002	18.058
NC_070999	235.066
NC_070998	237.367
NC_070997	16.658
NC_070996	15.896
NC_070995	16.604
NC_070994	16.223
NC_070993	75.809
NC_070992	79.429
NC_070991	77.307
NC_070990	77.187
NC_070989	77.359
NC_070988	76.964
NC_070987	76.899
NC_070986	76.083
NC_070985	75.646
NC_070984	75.007
NC_070983	76.631
NC_070982	75.747
NC_070981	78.078
NC_070980	76.626
NC_070979	76.622
NC_070978	112.127
NC_070977	86.289
NC_070976	90.382
NC_070975	90.187
NC_070974	89.91
NC_070973	75.106
NC_070972	18.554
NC_070969	61.818
NC_070968	49.492
NC_070967	206.821
NC_070966	207.623
NC_070965	167.04
NC_070964	180.224
NC_070963	240.842
NC_070962	228.827
NC_070961	192.454
NC_070960	187.32
NC_070959	167.069
NC_070958	259.831
NC_070957	262.372
NC_070956	260.31
NC_070955	59.762
NC_070954	44.942
NC_070953	38.08
NC_070952	262.639
NC_070950	253.383
NC_070949	50.485
NC_070948	90.669
NC_070947	57.847
NC_070946	57.846
NC_070945	57.866
NC_070944	58.287
NC_070943	58.208
NC_070942	58.69
NC_070941	57.401
NC_070940	58.739
NC_070939	59.084
NC_070938	58.059
NC_070937	182.723
NC_070936	253.367
NC_070935	60.973
NC_070934	60.908
NC_070933	41.227
NC_070932	59.782
NC_070931	41.655
NC_070930	37.969
NC_070929	36.805
NC_070928	37.848
NC_070927	37.631
NC_070926	37.761
NC_070925	37.252
NC_070924	37.847
NC_070923	38.9
NC_070922	39.046
NC_070921	61.401
NC_070920	40.166
NC_070919	37.312
NC_070918	32.949
NC_070917	29.18
NC_070916	29.546
NC_070915	33.247
NC_070914	30.28
NC_070913	36.481
NC_070912	36.28
NC_070911	29.512
NC_070910	32.867
NC_070909	33.368
NC_070908	31.962
NC_070907	33.007
NC_070906	31.49
NC_070905	32.541
NC_070904	33.562
NC_070903	33.349
NC_070902	31.564
NC_070901	35.129
NC_070900	30.077
NC_070899	32.106
NC_070898	31.738
NC_070897	48.092
NC_070896	47.166
NC_070895	47.618
NC_070894	48.123
NC_070893	48.948
NC_070892	48.382
NC_070891	47.982
NC_070890	143.349
NC_070889	156.878
NC_070888	158.577
NC_070887	156.186
NC_070886	156.502
NC_070885	154.206
NC_070884	153.811
NC_070883	152.762
NC_070882	301.543
NC_070881	42.322
NC_070880	18.292
NC_070879	18.271
NC_070878	16.927
NC_070877	113.685
NC_070876	58.966
NC_070875	42.969
NC_070874	72.231
NC_070873	72.444
NC_070872	73.275
NC_070871	74.437
NC_070870	68.27
NC_070869	72.896
NC_070868	76.332
NC_070867	74.962
NC_070866	74.361
NC_070865	72.728
NC_070864	73.345
NC_070863	73.001
NC_070862	73.308
NC_070861	76.232
NC_070860	73.752
NC_070859	75.871
NC_070858	73.045
NC_070857	76.359
NC_070856	77.178
NC_070855	77.655
NC_070854	78.314
NC_070853	77.869
NC_070852	77.174
NC_070851	78.126
NC_070850	72.458
NC_070849	70.466
NC_070848	73.099
NC_070847	74.717
NC_070846	47.243
NC_070845	81.528
NC_070844	80.919
NC_070843	80.647
NC_070842	82.931
NC_070841	82.008
NC_070840	57.429
NC_070839	177.834
NC_070838	65.232
NC_070837	52.49
NC_070836	56.481
NC_070835	53.234
NC_070834	50.433
NC_070833	51.476
NC_070832	49.447
NC_070831	53.867
NC_070830	82.521
NC_070829	82.302
NC_070828	39.535
NC_070827	62.978
NC_070826	37.211
NC_070825	37.73
NC_070824	42.261
NC_070823	45.306
NC_070822	39.94
NC_070820	35.33
NC_070819	51.789
NC_070818	53.155
NC_070817	53.182
NC_070816	45.043
NC_070815	47.306
NC_070814	46.717
NC_070813	48.397
NC_070812	47.548
NC_070811	47.716
NC_070810	48.198
NC_070809	46.784
NC_070808	47.336
NC_070807	47.735
NC_070806	47.953
NC_070805	47.68
NC_070804	46.653
NC_070803	46.042
NC_070802	45.072
NC_070801	44.73
NC_070800	46.684
NC_070799	45.413
NC_070798	44.079
NC_070797	46.463
NC_070796	53.473
NC_070795	52.698
NC_070794	51.628
NC_070793	49.78
NC_070792	52.807
NC_070791	53.826
NC_070790	54.546
NC_070789	53.453
NC_070788	51.668
NC_070787	51.268
NC_070786	127.551
NC_070785	126.614
NC_070784	130.929
NC_070783	130.666
NC_070782	133.697
NC_070781	134.464
NC_070780	170.318
NC_070778	173.871
NC_070777	172.763
NC_070776	174.783
NC_070775	42.563
NC_070774	40.065
NC_070773	44.507
NC_070772	45.171
NC_070771	37.783
NC_070770	36.407
NC_070769	39.448
NC_070768	40.317
NC_070767	14.927
NC_070766	15.84
NC_070765	71.419
NC_070764	121.35
NC_070763	114.174
NC_070762	115.454
NC_070761	103.424
NC_070760	63.364
NC_070759	40.808
NC_070758	43.859
NC_070727	42.706
NC_070726	41.169
NC_070725	38.253
NC_070724	34.999
NC_070723	35.443
NC_070722	33.93
NC_070721	35.917
NC_070720	34.276
NC_070719	36.836
NC_070718	37.181
NC_070717	37.222
NC_070716	35.382
NC_070715	36.25
NC_070714	34.821
NC_070713	35.283
NC_070712	35.256
NC_070711	35.535
NC_070710	35.211
NC_070709	36.979
NC_070708	35.835
NC_070707	35.921
NC_070706	35.988
NC_070705	36.164
NC_070704	37.202
NC_070703	35.395
NC_070702	36.298
NC_070701	37.715
NC_070700	34.507
NC_070699	35.663
NC_070698	35.025
NC_070697	34.019
NC_070696	33.284
NC_070695	35.843
NC_070694	34.292
NC_070693	37.235
NC_070692	35.444
NC_070691	36.168
NC_070690	35.653
NC_070689	34.059
NC_070688	34.328
NC_070687	36.884
NC_070686	39.707
NC_070685	34.083
NC_070684	37.757
NC_070683	34.277
NC_070682	35.299
NC_070681	36.35
NC_070680	34.022
NC_070679	37.303
NC_070678	34.759
NC_070677	37.281
NC_070676	36.011
NC_070675	39.965
NC_070674	36.576
NC_070673	38.258
NC_070672	38.531
NC_070671	35.715
NC_070670	35.697
NC_070669	37.005
NC_070668	34.912
NC_070667	39.069
NC_070666	37.028
NC_070665	34.355
NC_070664	40.037
NC_070663	34.79
NC_070662	34.096
NC_070661	38.84
NC_070660	36.333
NC_070659	36.827
NC_070658	35.92
NC_070657	35.928
NC_070656	37.598
NC_070655	36.773
NC_070654	35.936
NC_070653	36.733
NC_070652	34.239
NC_070651	34.593
NC_070650	265.389
NC_070625	45.238
NC_070624	46.276
NC_070623	42.859
NC_070622	43.733
NC_069755	43.315
NC_069754	46.326
NC_069753	39.019
NC_069752	40.244
NC_069751	42.887
NC_069750	42.828
NC_069749	43.133
NC_069748	43.015
NC_069747	42.788
NC_069746	42.82
NC_069745	43.553
NC_069744	43.314
NC_069743	43.141
NC_069742	42.439
NC_069741	43.067
NC_069740	43.47
OX422066	86.46
OQ243220	46.647
OQ243221	46.604
OP856857	136.673
ON189046	40.498
LR991625	42.884
LR990834	18.345
LR990833	42.697
OQ101259	53.751
OQ101258	51.595
OQ101257	60.424
OQ101256	54.941
OQ101255	55.385
OQ101254	67.052
OQ101253	32.415
OQ101251	42.776
OQ101250	50.696
OQ101248	55.181
OP785155	50.419
MZ333462	149.913
MZ374361	49.532
AP019521	172.558
LC742552	17.56
OQ221563	44.487
OQ135105	46.147
OQ135104	43.647
OQ135106	62.366
OQ135103	44.304
OQ135102	44.961
OQ079156	126.535
OQ079155	42.365
OQ079154	42.372
OQ079153	42.375
OP748252	41.356
OP748251	41.569
OP256047	40.757
NC_061450	267.169
OM240929	19.096
OM240928	19.267
OM240927	19.014
OM240926	19.078
OP068335	53.643
OP924544	38.758
OP595602	77.632
KY703222	186.57
OQ137562	45.177
OQ137561	62.367
OQ137560	44.702
OQ137559	44.31
OQ174502	167.921
OM687510	47.749
OM687509	46.448
OM687508	33.683
OM687507	44.558
OM621929	17.529
OM621924	10.647
OM621923	16.005
OQ025560	32.696
OQ184949	4.696
OQ174511	85.751
OQ174510	85.745
OQ174509	85.745
OQ174508	85.751
OQ174507	85.75
OQ174506	88.978
OQ174505	87.152
OQ174504	88.905
OQ174503	166.772
OQ174501	167.921
OQ174500	167.414
OQ200059	91.901
OP869846	41.877
OL539729	39.849
OL773677	39.849
OL773676	39.829
OQ067478	45.327
OQ067477	82.794
OQ067476	43.813
OP947166	43.454
OP947165	50.49
OP947161	44.769
OP947160	19.623
OP947159	46.186
OQ225163	92.42
OQ225162	92.835
OP292674	46.635
OP292673	48.162
OX414868	79.659
OP971938	4.914
OP971937	5.224
OP971936	5.253
OP971933	4.958
MZ333456	39.221
OP328422	49.642
OP328423	44.629
OP328421	17.124
OP328420	45.914
OP038319	44.811
MG029515	45.164
MF580410	45.585
MZ923531	39.732
OP750331	34.645
OP626794	40.924
OQ095919	127.182
OQ095918	128.276
OQ095917	127.945
OQ095916	128.785
OQ095915	128.451
BK061430	2.991
BK061429	3.159
BK061428	3.283
BK061427	3.338
BK061426	3.338
BK061425	3.476
BK061424	3.476
BK061423	3.628
BK061422	3.408
BK061421	3.577
BK061420	3.425
BK061419	3.413
BK061418	3.446
BK061417	3.56
ON153212	138.528
AY216660	48.836
KU678392	32.649
KU678391	32.813
KU678390	33.105
KU678389	32.729
CP115737	41.923
OP484858	64.155
OP484857	61.037
ON529533	103.593
ON529532	58.619
OP784576	57.911
OP784575	93.031
OQ181210	75.599
OX411389	79.532
OP807346	43.914
OP807345	38.073
OP807344	41.371
OP807343	41.308
OP807342	31.327
OP807341	40.496
OQ164647	246.348
OQ164637	92.114
OP797663	61.291
OP021678	46.026
MW435566	45.966
NC_001895	33.593
OP947164	33.405
OP947162	44.232
OP947163	42.652
OP947158	44.443
OP948730	44.497
OP172752	41.47
OP964055	40.163
OP964054	45.001
OP964053	35.279
OP964052	40.264
MK637516	68.531
OQ032511	79.638
NC_068555	76.339
NC_067270	156.127
NC_055917	18.642
NC_062763	75.181
NC_062762	36.603
NC_062761	35.27
NC_062760	56.593
NC_062759	61.934
NC_062758	76.759
NC_062757	42.293
NC_062756	63.301
NC_062755	76.821
NC_062754	39.649
NC_062753	53.385
NC_062752	124.169
NC_062751	124.695
NC_062750	37.547
NC_062749	42.624
NC_062747	78.833
NC_062746	43.978
NC_062745	47.186
NC_062744	72.979
NC_062743	61.048
NC_062741	60.925
NC_062740	74.196
ON108643	71.575
NC_061451	265.635
NC_061449	263.916
NC_061448	266.939
NC_061447	263.237
NC_061446	259.771
NC_061445	266.175
NC_061444	265.891
NC_061443	265.442
NC_061442	261.719
NC_061441	266.838
NC_061440	265.146
NC_061436	37.578
NC_061421	307.21
NC_061418	296.707
NC_060137	75.606
NC_060136	76.731
NC_060135	76.058
NC_060133	76.821
NC_055956	49.276
NC_052978	60.056
NC_052974	59.489
NC_001900	49.127
NC_049466	52.401
NC_055921	70.823
NC_055920	58.358
NC_055919	76.617
NC_055918	72.623
NC_055916	17.056
NC_055915	160.41
NC_055914	26.319
NC_055913	128.602
NC_055912	54.168
NC_055911	37.727
NC_055910	109.434
NC_055909	54.468
NC_055908	28.95
NC_055907	86.301
NC_055906	17.471
NC_055905	26.863
NC_055904	97.886
NC_055903	98.667
NC_055902	96.717
NC_055901	94.826
NC_055900	98.095
NC_055899	101.532
NC_055898	99.848
NC_055897	98.308
NC_055896	98.557
NC_055895	103.832
NC_055894	97.422
NC_055893	96.055
NC_055892	99.168
NC_055891	100.198
NC_055890	97.29
NC_055889	101.153
NC_055888	103.665
NC_055887	92.815
NC_055886	83.412
NC_055885	95.15
NC_055884	99.212
NC_055883	98.164
NC_055882	101.082
NC_055881	102.301
NC_055880	102.434
NC_055879	89.781
NC_055878	101.437
NC_055877	92.668
NC_055876	93.559
NC_055875	99.985
NC_055874	91.101
NC_055873	99.882
NC_055872	92.6
NC_055871	101.662
NC_055870	93.787
NC_055869	98.34
NC_055868	98.826
NC_055867	58.203
NC_055866	18.477
NC_055865	53.622
NC_055864	60.042
NC_055863	38.038
NC_055862	36.616
NC_055861	58.364
NC_055860	69.258
NC_055859	60.127
NC_055858	53.702
NC_055857	57.764
NC_055856	59.501
NC_055855	60.393
NC_055854	59.979
NC_055853	59.846
NC_055852	61.691
NC_055851	127.019
NC_055850	127.684
NC_055849	126.683
NC_055848	126.504
NC_055847	128.425
NC_055846	31.096
NC_055845	32.336
NC_055844	31.809
NC_055843	58.46
NC_055842	132.885
NC_055841	151.073
NC_055840	75.576
NC_055839	60.418
NC_055838	43.872
NC_055837	44.153
NC_055836	44.086
NC_055835	44.763
NC_055834	85.371
NC_055833	85.669
NC_055832	99.494
NC_055831	166.579
NC_055830	126.55
NC_055829	126.552
NC_055828	93.03
NC_055827	68.021
NC_055826	75.087
NC_055825	58.136
NC_055824	68.059
NC_055823	79.328
NC_055822	133.09
NC_055821	64.714
NC_055820	66.184
NC_055819	59.759
NC_055818	59.449
NC_055817	52.466
NC_055816	58.924
NC_055815	48.54
NC_055814	17.711
NC_055813	131.234
NC_055812	69.021
NC_055722	32.09
NC_055040	46.435
NC_055026	39.161
NC_055025	40.093
NC_055020	39.803
NC_055018	21.629
NC_055017	22.099
NC_055016	21.006
NC_055015	21.144
NC_055014	20.03
NC_055013	20.751
NC_055012	21.746
NC_055011	22.41
NC_055010	23.281
NC_055009	22.405
NC_055008	21.749
NC_055007	22.109
NC_055006	21.869
NC_054995	21.078
NC_054987	26.526
NC_054981	43.444
NC_054979	43.108
NC_054975	43.134
NC_054973	44.384
NC_054965	62.42
NC_054963	61.164
NC_054962	57.085
NC_054961	39.744
NC_054960	58.352
NC_054959	60.898
NC_054958	58.603
NC_054957	57.352
NC_054956	55.171
NC_054955	46.321
NC_054953	55.145
NC_054946	44.834
NC_054945	167.948
NC_054938	167.484
NC_054937	172.36
NC_054934	165.017
NC_054933	167.892
NC_054932	166.833
NC_054927	167.6
NC_054924	170.054
NC_054921	168.642
NC_054913	168.241
NC_054912	168.41
NC_054901	167.516
NC_054900	165.795
NC_054897	45.806
NC_054896	51.014
NC_054891	43.597
NC_054890	41.608
NC_054815	53.598
NC_054810	53.399
NC_054807	49.937
NC_054797	51.679
NC_054793	50.283
NC_054790	52.202
NC_054789	53.254
NC_054783	53.277
NC_054779	51.8
NC_054777	51.052
NC_054776	51.182
NC_054771	47.895
NC_054762	45.614
NC_054726	136.319
NC_054725	152.435
NC_054721	156.354
NC_054718	156.17
NC_054679	51.566
NC_054678	51.631
NC_054676	48.481
NC_054675	48.883
NC_054673	48.829
NC_054672	49.395
NC_054669	53.011
NC_054667	50.643
NC_054659	50.834
NC_054658	50.272
NC_054657	51.956
NC_054654	45.424
NC_054653	46.391
NC_054649	47.611
NC_054648	47.483
NC_054646	47.604
NC_054463	44.222
NC_054462	44.732
NC_054461	47.407
NC_054456	41.278
NC_054454	40.58
NC_054448	42.382
NC_054446	44.998
NC_054438	44.904
NC_054437	43.366
NC_054433	52.581
NC_054432	52.849
NC_054425	43.746
NC_054423	43.603
NC_054419	43.089
NC_054392	44.938
NC_054149	44.033
NC_054148	43.707
NC_054147	42.452
NC_053516	82.356
NC_053514	83.601
NC_053513	83.412
NC_053511	77.566
NC_053509	77.876
NC_053506	77.086
NC_053247	58.928
NC_053246	59.21
NC_053244	59.761
NC_053243	58.844
NC_053242	59.268
NC_053236	57.43
NC_053235	58.176
NC_053210	55.006
NC_053209	48.916
NC_053173	49.604
NC_053172	52.018
NC_053015	58.573
NC_053014	55.83
NC_053013	57.567
NC_053011	62.716
NC_053010	60.924
NC_053009	60.727
NC_053008	59.618
NC_052999	60.438
NC_052991	54.417
NC_052989	61.736
NC_052986	61.382
NC_052984	60.975
NC_052983	58.536
NC_052980	59.078
NC_052979	59.837
NC_052977	56.734
NC_052973	56.232
NC_052967	63.828
NC_052964	64.096
NC_052938	17.51
NC_052936	17.049
NC_052935	17.426
NC_052934	17.442
NC_052933	17.385
NC_052663	147.702
NC_052662	151.202
NC_052661	150.947
NC_052660	150.473
NC_052659	144.998
NC_052658	151.514
NC_052657	146.307
NC_052656	149.335
NC_052655	147.009
NC_051739	50.513
NC_051738	50.415
NC_051730	46.561
NC_051729	49.075
NC_051728	48.783
NC_051727	48.399
NC_051723	54.814
NC_051716	56.147
NC_051705	57.356
NC_051690	54.857
NC_051687	57.984
NC_051685	59.268
NC_051684	58.027
NC_051668	55.471
NC_051662	54.974
NC_051658	58.166
NC_051651	58.15
NC_051650	58.368
NC_051649	58.397
NC_051648	59.478
NC_051642	55.189
NC_051637	60.222
NC_051635	58.824
NC_051631	59.969
NC_051630	60.757
NC_051629	62.192
NC_051623	61.464
NC_051622	62.153
NC_051618	61.222
NC_051617	62.067
NC_051609	61.945
NC_051608	61.772
NC_051603	61.027
NC_051600	57.666
NC_051590	58.678
NC_051586	69.897
NC_051584	70.992
NC_051582	71.552
NC_051581	70.668
NC_049456	75.873
NC_050151	66.295
NC_050150	65.852
NC_050149	65.918
NC_050147	65.68
NC_050146	65.629
NC_050144	65.797
NC_050143	60.746
NC_049976	18.753
NC_049974	21.781
NC_049973	20.784
NC_049972	18.932
NC_049971	18.466
NC_049955	45.56
NC_049954	47.142
NC_049953	47.224
NC_049952	48.763
NC_049950	46.288
NC_049949	46.685
NC_049948	50.126
NC_049947	46.703
NC_049946	49.168
NC_049900	40.298
NC_049857	123.023
NC_049853	49.89
NC_049852	51.643
NC_049848	49.835
NC_049845	49.477
NC_049842	49.316
NC_049838	47.844
NC_049832	50.168
NC_049831	50.309
NC_049830	49.043
NC_049829	46.66
NC_049828	48.613
NC_049827	51.154
NC_049826	51.662
NC_049825	49.53
NC_049824	50.709
NC_049823	50.971
NC_049821	51.048
NC_049820	53.145
NC_049819	50.732
NC_049818	51.627
NC_049817	51.277
NC_049816	51.111
NC_049815	51.012
NC_049812	31.05
NC_049808	57.909
NC_049509	158.706
NC_049508	159.128
NC_049507	158.905
NC_049506	158.23
NC_049505	157.92
NC_049504	157.254
NC_049503	156.801
NC_049502	156.13
NC_049501	151.015
NC_049500	144.232
NC_049499	143.249
NC_049498	46.623
NC_049497	160.4
NC_049496	158.892
NC_049495	158.087
NC_049494	166.33
NC_049493	165.151
NC_049492	167.922
NC_049491	164.746
NC_049490	165.927
NC_049489	69.061
NC_049488	25.327
NC_049487	29.925
NC_049486	29.34
NC_049485	32.653
NC_049484	29.218
NC_049483	29.652
NC_049482	27.642
NC_049481	30.162
NC_049480	30.832
NC_049479	166.21
NC_049478	60.205
NC_049477	33.851
NC_049476	32.697
NC_049475	28.396
NC_049474	29.075
NC_049473	38.85
NC_049472	160.795
NC_049471	68.762
NC_049470	45.507
NC_049469	75.239
NC_049468	50.782
NC_049467	70.678
NC_049465	48.201
NC_049464	167.547
NC_049463	76.239
NC_049459	31.123
NC_049432	39.309
NC_049395	30.584
NC_049394	30.927
NC_049393	30.597
NC_049392	29.203
NC_049391	37.1
NC_049390	32.848
NC_049389	31.128
NC_049388	32.15
NC_049387	32.118
NC_049386	32.662
NC_049385	31.342
NC_049344	37.583
NC_049343	33.041
NC_049342	39.179
NC_049341	31.194
NC_048878	56.163
NC_048877	54.442
NC_048876	57.731
NC_048875	54.982
NC_048874	4.526
NC_048873	143.8
NC_048872	114.059
NC_048871	113.503
NC_048870	112.477
NC_048869	112.117
NC_048868	112.006
NC_048867	110.183
NC_048866	109.539
NC_048865	109.372
NC_048864	52.767
NC_048863	52.464
NC_048862	11.569
NC_048861	90.71
NC_048860	53.692
NC_048859	18.899
NC_048858	18.635
NC_048857	121.04
NC_048856	119.416
NC_048855	118.118
NC_048854	45.385
NC_048853	116.606
NC_048852	118.452
NC_048851	77.221
NC_048850	56.391
NC_048849	174.924
NC_048848	31.118
NC_048847	92.76
NC_048845	52.092
NC_048844	36.912
NC_048843	40.542
NC_048842	38.502
NC_048841	39.365
NC_048840	38.214
NC_048839	38.134
NC_048838	38.501
NC_048837	38.527
NC_048836	38.385
NC_048835	38.268
NC_048834	43.236
NC_048833	39.039
NC_048832	39.262
NC_048831	38.028
NC_048830	34.711
NC_048829	34.751
NC_048828	148.842
NC_048827	148.18
NC_048826	68.155
NC_048825	60.531
NC_048824	71.538
NC_048823	61.623
NC_048822	60.278
NC_048821	237.509
NC_048820	77.514
NC_048819	110.775
NC_048818	108.64
NC_048817	59.727
NC_048816	60.978
NC_048815	67.485
NC_048814	67.813
NC_048813	66.892
NC_048812	67.785
NC_048811	111.636
NC_048810	61.544
NC_048809	114.986
NC_048808	111.039
NC_048807	147.321
NC_048806	65.69
NC_048805	57.805
NC_048804	159.961
NC_048803	53.392
NC_048802	159.365
NC_048800	68.745
NC_048797	161.583
NC_048794	109.654
NC_048779	238.099
NC_048672	40.163
NC_048671	40.907
NC_048666	58.916
NC_048664	92.122
NC_048191	80.361
NC_048188	81.92
NC_048187	82.744
NC_048147	61.83
NC_048023	39.747
NC_048020	52.992
NC_047993	53.549
NC_047976	52.935
NC_047971	40.337
NC_047970	40.54
NC_047969	41.161
NC_047968	40.635
NC_047899	44.895
NC_047889	44.784
NC_047874	39.195
NC_047834	47.631
NC_047827	40.491
NC_047826	40.214
NC_047800	44.793
NC_047769	44.559
NC_047717	175.559
NC_047716	175.557
NC_047715	174.67
NC_047714	196.842
NC_047713	223.27
NC_047712	216.628
NC_004927	75.898
NC_043767	67.324
NC_043469	51.543
NC_043027	252.197
NC_042564	14.504
NC_042353	50.672
NC_042352	51.889
NC_042351	53.197
NC_042350	35.099
NC_042349	53.812
NC_042348	35.883
NC_042342	65.27
NC_042341	51.235
NC_042340	50.645
NC_042339	51.5
NC_042338	61.567
NC_042337	52.494
NC_042336	55.363
NC_042335	49.228
NC_042334	48.963
NC_042333	50.965
NC_042332	59.749
NC_042331	51.083
NC_042330	51.702
NC_042329	50.988
NC_042328	50.364
NC_042327	53.171
NC_042326	51.381
NC_042325	61.147
NC_042324	51.426
NC_042323	57.278
NC_042322	109.086
NC_042321	50.486
NC_042320	52.169
NC_042319	55.6
NC_042318	51.889
NC_042317	58.899
NC_042316	111.688
NC_042315	56.719
NC_042314	51.339
NC_042313	74.914
NC_042312	51.578
NC_042311	50.864
NC_042310	50.877
NC_042309	52.213
NC_042308	51.308
NC_042112	132.454
NC_042066	51.092
NC_042058	48.491
NC_042038	47.285
NC_042031	60.835
NC_042030	58.714
NC_042027	74.491
NC_042014	49.808
NC_042005	41.608
NC_041878	378.379
NC_041858	49.492
NC_041855	58.866
NC_041853	49.186
NC_041852	53.972
NC_041851	37.374
NC_041850	76.174
NC_041848	31.2
NC_041847	57.701
NC_041846	74.997
NC_041844	109.27
NC_041834	24.608
NC_041833	51.534
NC_041832	14.701
NC_041831	27.985
MH626557	30.93
NC_004686	56.275
NC_004682	50.913
NC_014459	59.798
MF158036	29.178
NC_030652	42.14
NC_024329	39.425
NC_029024	56.505
NC_028913	43.145
NC_028900	28.144
NC_028864	43.189
NC_002484	56.426
NC_008202	42.289
NC_005262	63.882
NC_003390	46.675
NC_027997	177.534
NC_027996	175.72
NC_027989	53.237
NC_027365	58.076
NC_027356	108.065
NC_027350	49.816
NC_027297	123.475
NC_005880	148.317
NC_023746	57.387
NC_023745	51.813
NC_023739	51.821
NC_023732	69.279
NC_023728	56.461
NC_023726	53.597
NC_023724	62.991
NC_023721	54.411
NC_023720	53.142
NC_023719	497.513
NC_023716	53.177
NC_023712	71.341
NC_023705	41.65
NC_023704	51.421
NC_023702	52.379
NC_023701	69.864
NC_023700	34.553
NC_023699	59.016
NC_023698	54.47
NC_023697	48.42
NC_023690	110.569
NC_023687	53.003
NC_022773	50.354
NC_022766	49.246
NC_022765	49.836
NC_012223	44.899
NC_022989	31.08
NC_022343	159.991
NC_021783	59.254
NC_021780	59.454
NC_021779	59.746
NC_021335	69.048
NC_021321	74.519
NC_021320	76.134
NC_021315	59.407
NC_019933	43.87
NC_019419	43.457
NC_020480	50.161
NC_020479	49.425
NC_020478	49.259
NC_020477	49.458
NC_019925	152.427
NC_019917	62.952
NC_019916	38.002
NC_019912	36.932
NC_019511	136.326
