intronID,hit,target_name,accession,query_name,accession_2,mdl,mdl_from,mdl_to,seq_from,seq_to,strand,trunc,pass,gc,bias,score,E-value,inc,description_of_target,start,end,length,Description,Classification,Genome Length (bp),Jumbophage,molGC (%),Molecule,Modification Date,Number CDS,Positive Strand (%),Negative Strand (%),Coding Capacity (%),Low Coding Capacity Warning,tRNAs,Host,Lowest Taxa,Genus,Sub-family,Family,Order,Class,Phylum,Kingdom,Realm,Baltimore Group,Genbank Division,Isolation Host (beware inconsistent and nonsense values)
NC_031039_I_151396,14875,NC_031039,-,Intron_gpI,RF00028,cm,1,253,151396,151159,-,no,1,0.33,5.4,48.6,1.8e-08,!,"Bacillus phage AR9, complete genome.",151159,151396,237,Bacillus phage AR9,Bacillus phage AR9 Takahashivirus PBS1 Takahashivirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,251042,True,27.752,DNA,09-JAN-2023,296,61.8243243243243,38.1756756756757,89.6164785175389,,1,Bacillus,Takahashivirus,Takahashivirus,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Bacillus subtilis subsp. subtilis 168
NC_031039_I_152482,1237,NC_031039,-,IA2,-,cm,1,251,152482,152200,-,no,1,0.37,2.2,126.2,7.6e-30,!,"Bacillus phage AR9, complete genome.",152200,152482,282,Bacillus phage AR9,Bacillus phage AR9 Takahashivirus PBS1 Takahashivirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,251042,True,27.752,DNA,09-JAN-2023,296,61.8243243243243,38.1756756756757,89.6164785175389,,1,Bacillus,Takahashivirus,Takahashivirus,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Bacillus subtilis subsp. subtilis 168
NC_031039_I_152935,11154,NC_031039,-,IC1,-,cm,98,259,152935,152770,-,no,1,0.32,3.3,75.8,1.7e-20,!,"Bacillus phage AR9, complete genome.",152770,152935,165,Bacillus phage AR9,Bacillus phage AR9 Takahashivirus PBS1 Takahashivirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,251042,True,27.752,DNA,09-JAN-2023,296,61.8243243243243,38.1756756756757,89.6164785175389,,1,Bacillus,Takahashivirus,Takahashivirus,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Bacillus subtilis subsp. subtilis 168
NC_031039_I_174122,9635,NC_031039,-,IB4,-,cm,1,250,174122,174496,+,no,1,0.38,8.2,63.3,4.8e-11,!,"Bacillus phage AR9, complete genome.",174122,174496,374,Bacillus phage AR9,Bacillus phage AR9 Takahashivirus PBS1 Takahashivirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,251042,True,27.752,DNA,09-JAN-2023,296,61.8243243243243,38.1756756756757,89.6164785175389,,1,Bacillus,Takahashivirus,Takahashivirus,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Bacillus subtilis subsp. subtilis 168
NC_031039_I_174745,3633,NC_031039,-,IA2,-,cm,1,251,174745,175027,+,no,1,0.35,7.2,54.2,1.5e-09,!,"Bacillus phage AR9, complete genome.",174745,175027,282,Bacillus phage AR9,Bacillus phage AR9 Takahashivirus PBS1 Takahashivirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,251042,True,27.752,DNA,09-JAN-2023,296,61.8243243243243,38.1756756756757,89.6164785175389,,1,Bacillus,Takahashivirus,Takahashivirus,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Bacillus subtilis subsp. subtilis 168
NC_043027_I_6016,1247,NC_043027,-,IA2,-,cm,1,251,6016,6309,+,no,1,0.35,5.9,126.0,8.500000000000001e-30,!,"Bacillus virus PBS1, complete genome.",6016,6309,293,Bacillus phage PBS1,Bacillus phage PBS1 Takahashivirus PBS1 Takahashivirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,252197,True,27.71,DNA,11-JAN-2023,299,63.2107023411371,36.7892976588629,89.8254142594876,,1,Bacillus,Takahashivirus,Takahashivirus,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Unspecified
NC_043027_I_6775,1175,NC_043027,-,IA2,-,cm,1,251,6775,7066,+,no,1,0.37,3.0,129.2,1.1000000000000001e-30,!,"Bacillus virus PBS1, complete genome.",6775,7066,291,Bacillus phage PBS1,Bacillus phage PBS1 Takahashivirus PBS1 Takahashivirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,252197,True,27.71,DNA,11-JAN-2023,299,63.2107023411371,36.7892976588629,89.8254142594876,,1,Bacillus,Takahashivirus,Takahashivirus,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Unspecified
NC_043027_I_28926,1805,NC_043027,-,IA2,-,cm,1,251,28926,28593,-,no,1,0.36,7.3,102.3,4.1e-23,!,"Bacillus virus PBS1, complete genome.",28593,28926,333,Bacillus phage PBS1,Bacillus phage PBS1 Takahashivirus PBS1 Takahashivirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,252197,True,27.71,DNA,11-JAN-2023,299,63.2107023411371,36.7892976588629,89.8254142594876,,1,Bacillus,Takahashivirus,Takahashivirus,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Unspecified
NC_043027_I_60773,1826,NC_043027,-,IA2,-,cm,1,251,60773,60431,-,no,1,0.38,3.8,101.5,7.1e-23,!,"Bacillus virus PBS1, complete genome.",60431,60773,342,Bacillus phage PBS1,Bacillus phage PBS1 Takahashivirus PBS1 Takahashivirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,252197,True,27.71,DNA,11-JAN-2023,299,63.2107023411371,36.7892976588629,89.8254142594876,,1,Bacillus,Takahashivirus,Takahashivirus,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Unspecified
NC_043027_I_61184,14813,NC_043027,-,Intron_gpI,RF00028,cm,1,253,61184,60992,-,no,1,0.35,0.3,51.7,2e-09,!,"Bacillus virus PBS1, complete genome.",60992,61184,192,Bacillus phage PBS1,Bacillus phage PBS1 Takahashivirus PBS1 Takahashivirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,252197,True,27.71,DNA,11-JAN-2023,299,63.2107023411371,36.7892976588629,89.8254142594876,,1,Bacillus,Takahashivirus,Takahashivirus,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Unspecified
NC_043027_I_62314,1236,NC_043027,-,IA2,-,cm,1,251,62314,62032,-,no,1,0.37,2.2,126.2,7.6e-30,!,"Bacillus virus PBS1, complete genome.",62032,62314,282,Bacillus phage PBS1,Bacillus phage PBS1 Takahashivirus PBS1 Takahashivirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,252197,True,27.71,DNA,11-JAN-2023,299,63.2107023411371,36.7892976588629,89.8254142594876,,1,Bacillus,Takahashivirus,Takahashivirus,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Unspecified
NC_043027_I_62767,11165,NC_043027,-,IC1,-,cm,98,259,62767,62602,-,no,1,0.31,4.8,75.0,3.2e-20,!,"Bacillus virus PBS1, complete genome.",62602,62767,165,Bacillus phage PBS1,Bacillus phage PBS1 Takahashivirus PBS1 Takahashivirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,252197,True,27.71,DNA,11-JAN-2023,299,63.2107023411371,36.7892976588629,89.8254142594876,,1,Bacillus,Takahashivirus,Takahashivirus,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Unspecified
NC_043027_I_84308,14688,NC_043027,-,Intron_gpI,RF00028,cm,1,253,84308,84661,+,no,1,0.37,7.5,56.1,9.6e-11,!,"Bacillus virus PBS1, complete genome.",84308,84661,353,Bacillus phage PBS1,Bacillus phage PBS1 Takahashivirus PBS1 Takahashivirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,252197,True,27.71,DNA,11-JAN-2023,299,63.2107023411371,36.7892976588629,89.8254142594876,,1,Bacillus,Takahashivirus,Takahashivirus,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Unspecified
NC_043027_I_85002,3635,NC_043027,-,IA2,-,cm,1,251,85002,85284,+,no,1,0.35,7.2,54.2,1.5e-09,!,"Bacillus virus PBS1, complete genome.",85002,85284,282,Bacillus phage PBS1,Bacillus phage PBS1 Takahashivirus PBS1 Takahashivirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,252197,True,27.71,DNA,11-JAN-2023,299,63.2107023411371,36.7892976588629,89.8254142594876,,1,Bacillus,Takahashivirus,Takahashivirus,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Unspecified
NC_043027_I_225193,3930,NC_043027,-,IA2,-,cm,1,251,225193,225470,+,no,1,0.35,5.9,49.5,3.2e-08,!,"Bacillus virus PBS1, complete genome.",225193,225470,277,Bacillus phage PBS1,Bacillus phage PBS1 Takahashivirus PBS1 Takahashivirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,252197,True,27.71,DNA,11-JAN-2023,299,63.2107023411371,36.7892976588629,89.8254142594876,,1,Bacillus,Takahashivirus,Takahashivirus,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Unspecified
NC_043027_I_251935,1979,NC_043027,-,IA2,-,cm,1,251,251935,251571,-,no,1,0.37,4.9,97.5,9.200000000000001e-22,!,"Bacillus virus PBS1, complete genome.",251571,251935,364,Bacillus phage PBS1,Bacillus phage PBS1 Takahashivirus PBS1 Takahashivirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,252197,True,27.71,DNA,11-JAN-2023,299,63.2107023411371,36.7892976588629,89.8254142594876,,1,Bacillus,Takahashivirus,Takahashivirus,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Unspecified
ON107264_I_55949,873,ON107264,-,IA2,-,cm,1,251,55949,56211,+,no,1,0.49,0.0,155.9,3.2000000000000003e-38,!,"Bacillus phage BUCT083, complete genome.",55949,56211,262,Bacillus phage BUCT083,Bacillus phage BUCT083 Spbetavirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,133818,False,34.933,DNA,20-APR-2022,195,70.2564102564102,29.7435897435897,86.6946150742053,,0,Bacillus,Spbetavirus,Spbetavirus,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Bacillus subtilis subsp. subtilis str. 168
ON107264_I_59579,15098,ON107264,-,Intron_gpI,RF00028,cm,1,253,59579,59821,+,no,1,0.39,1.1,41.5,2.3e-06,!,"Bacillus phage BUCT083, complete genome.",59579,59821,242,Bacillus phage BUCT083,Bacillus phage BUCT083 Spbetavirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,133818,False,34.933,DNA,20-APR-2022,195,70.2564102564102,29.7435897435897,86.6946150742053,,0,Bacillus,Spbetavirus,Spbetavirus,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Bacillus subtilis subsp. subtilis str. 168
ON107264_I_60091,3684,ON107264,-,IA2,-,cm,1,251,60091,60405,+,no,1,0.47,0.0,53.0,3.4e-09,!,"Bacillus phage BUCT083, complete genome.",60091,60405,314,Bacillus phage BUCT083,Bacillus phage BUCT083 Spbetavirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,133818,False,34.933,DNA,20-APR-2022,195,70.2564102564102,29.7435897435897,86.6946150742053,,0,Bacillus,Spbetavirus,Spbetavirus,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Bacillus subtilis subsp. subtilis str. 168
ON107264_I_129462,3643,ON107264,-,IA2,-,cm,1,251,129462,129182,-,no,1,0.35,6.3,53.9,1.8e-09,!,"Bacillus phage BUCT083, complete genome.",129182,129462,280,Bacillus phage BUCT083,Bacillus phage BUCT083 Spbetavirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,133818,False,34.933,DNA,20-APR-2022,195,70.2564102564102,29.7435897435897,86.6946150742053,,0,Bacillus,Spbetavirus,Spbetavirus,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Bacillus subtilis subsp. subtilis str. 168
