genome,accession,target_name,query_name,E-value,description_of_target,genome_start,genome_end,strand,intronID,source
MT836602,PF14293.9,YWFCY,orf26,1.6e-06,YWFCY protein,2467,3195,+,MT836602_II_3247,.tblout
MT836602,PF12508.11,Transposon_TraM,orf3,1.4e-35,"Conjugative transposon, TraM",4,399,+,MT836602_II_3247,.tblout
MT836602,PF00078.30,RVT_1,orf43,5.4e-43,Reverse transcriptase (RNA-dependent DNA polymerase),3789,5471,+,MT836602_II_3247,.tblout
MT836602,PF02534.17,T4SS-DNA_transf,orf56,2.2e-13,Type IV secretory system Conjugative DNA transfer,5453,7036,+,MT836602_II_3247,.tblout
MT836602,PF04371.18,PAD_porph,orf70,1.5e-15,Porphyromonas-type peptidyl-arginine deiminase,8387,8184,-,MT836602_II_3247,.tblout
MT836602,PF07603.14,DUF1566,orf16,0.0003,Protein of unknown function (DUF1566),1776,2447,+,MT836602_II_5501,.tblout
MT836602,PF14293.9,YWFCY,orf22,1.6e-06,YWFCY protein,2467,3195,+,MT836602_II_5501,.tblout
MT836602,PF00078.30,RVT_1,orf39,5.4e-43,Reverse transcriptase (RNA-dependent DNA polymerase),3789,5471,+,MT836602_II_5501,.tblout
MT836602,PF02534.17,T4SS-DNA_transf,orf52,2.2e-13,Type IV secretory system Conjugative DNA transfer,5453,7036,+,MT836602_II_5501,.tblout
MT836602,PF13595.9,DUF4138,orf7,5.5e-57,Domain of unknown function (DUF4138),502,1275,+,MT836602_II_5501,.tblout
MT836602,PF04371.18,PAD_porph,orf99,2.6e-25,Porphyromonas-type peptidyl-arginine deiminase,9725,8184,-,MT836602_II_5501,.tblout
MT836950,PF07715.18,Plug,orf20,1.5e-16,TonB-dependent Receptor Plug Domain,4902,7124,+,MT836950_II_9901,.tblout
MT836950,PF14298.9,DUF4374,orf32,7.1e-21,Domain of unknown function (DUF4374),7123,8538,+,MT836950_II_9901,.tblout
MT836950,PF03929.19,PepSY_TM,orf43,5.9e-66,PepSY-associated TM region,8505,9686,+,MT836950_II_9901,.tblout
MT836950,PF13568.9,OMP_b-brl_2,orf57,0.0093,Outer membrane protein beta-barrel domain,10713,10916,+,MT836950_II_9901,.tblout
MT836950,PF13568.9,OMP_b-brl_2,orf60,1e-09,Outer membrane protein beta-barrel domain,10856,11206,+,MT836950_II_9901,.tblout
MT837010,PF01258.20,zf-dskA_traR,orf115,0.0095,Prokaryotic dksA/traR C4-type zinc finger,9618,9451,-,MT837010_II_5876,.tblout
MT837010,PF09479.13,Flg_new,orf123,7.200000000000001e-20,Listeria-Bacteroides repeat domain (List_Bact_rpt),10877,8178,-,MT837010_II_5876,.tblout
MT837010,PF03432.17,Relaxase,orf145,8.4e-29,Relaxase/Mobilisation nuclease domain,5634,5263,-,MT837010_II_5876,.tblout
MT837010,PF13443.9,HTH_26,orf156,8.7e-17,Cro/C1-type HTH DNA-binding domain,3531,3298,-,MT837010_II_5876,.tblout
MT837010,PF12161.11,HsdM_N,orf159,1e-12,HsdM N-terminal domain,3314,2988,-,MT837010_II_5876,.tblout
MT837010,PF00078.30,RVT_1,orf166,1.2999999999999999e-11,Reverse transcriptase (RNA-dependent DNA polymerase),2678,1371,-,MT837010_II_5876,.tblout
MT837010,PF04326.17,AlbA_2,orf170,1.3e-08,Putative DNA-binding domain,961,701,-,MT837010_II_5876,.tblout
MW248466,PF10881.11,DUF2726,orf15,0.0017,Protein of unknown function (DUF2726),111676,112656,+,MW248466_II_112621,.tblout
MW248466,PF16744.8,zf-RING_15,orf70,0.0055,KIAA1045 RING finger,113649,113500,-,MW248466_II_112621,.tblout
MW749003,PF14311.9,DUF4379,orf101,1.4e-08,Probable Zinc-ribbon domain,24758,23274,-,MW749003_II_25103,.tblout
MW749003,PF13719.9,zinc_ribbon_5,orf125,0.00022,zinc-ribbon domain,20515,20378,-,MW749003_II_25103,.tblout
MW749003,PF00005.30,ABC_tran,orf126,1.4e-06,ABC transporter,20347,20021,-,MW749003_II_25103,.tblout
MW749003,PF19655.2,DUF6158,orf24,0.0031,Family of unknown function (DUF6158),22992,23129,+,MW749003_II_25103,.tblout
MW749003,PF20286.1,divDNApol,orf79,4.9000000000000003e-32,Divergent Family B DNA polymerase,30104,28767,-,MW749003_II_25103,.tblout
MW749003,PF08281.15,Sigma70_r4_2,orf85,0.0038,"Sigma-70, region 4",27638,27165,-,MW749003_II_25103,.tblout
MW749003,PF01763.19,Herpes_UL6,orf86,0.0028,Herpesvirus UL6 like,27136,26873,-,MW749003_II_25103,.tblout
MW749003,PF04997.15,RNA_pol_Rpb1_1,orf89,0.0002,"RNA polymerase Rpb1, domain 1",26779,25610,-,MW749003_II_25103,.tblout
MW749003,PF14311.9,DUF4379,orf103,1.4e-08,Probable Zinc-ribbon domain,24758,23274,-,MW749003_II_25559,.tblout
MW749003,PF13719.9,zinc_ribbon_5,orf127,0.00021,zinc-ribbon domain,20515,20387,-,MW749003_II_25559,.tblout
MW749003,PF19655.2,DUF6158,orf21,0.0031,Family of unknown function (DUF6158),22992,23129,+,MW749003_II_25559,.tblout
MW749003,PF20286.1,divDNApol,orf81,8.1e-42,Divergent Family B DNA polymerase,30560,28767,-,MW749003_II_25559,.tblout
MW749003,PF08281.15,Sigma70_r4_2,orf87,0.0038,"Sigma-70, region 4",27638,27165,-,MW749003_II_25559,.tblout
MW749003,PF01763.19,Herpes_UL6,orf88,0.0028,Herpesvirus UL6 like,27136,26873,-,MW749003_II_25559,.tblout
MW749003,PF04997.15,RNA_pol_Rpb1_1,orf91,0.0002,"RNA polymerase Rpb1, domain 1",26779,25610,-,MW749003_II_25559,.tblout
MZ333456,PF18013.4,Phage_lysozyme2,orf21,3.6000000000000003e-29,Phage tail lysozyme,14451,16937,+,MZ333456_II_16983,.tblout
MZ333456,PF05257.19,CHAP,orf23,4.7000000000000004e-08,CHAP domain,16982,17383,+,MZ333456_II_16983,.tblout
MZ333456,PF10651.12,BppU_N,orf26,2.4e-34,BppU N-terminal domain,17387,18310,+,MZ333456_II_16983,.tblout
MZ333456,PF04048.17,Sec8_exocyst,orf32,0.00027,Sec8 exocyst complex component specific domain,19481,19870,+,MZ333456_II_16983,.tblout
MZ333456,PF09693.13,Phage_XkdX,orf34,7.3e-17,Phage uncharacterised protein (Phage_XkdX),19849,20007,+,MZ333456_II_16983,.tblout
MZ333456,PF10779.12,XhlA,orf35,7.599999999999999e-24,Haemolysin XhlA,20027,20275,+,MZ333456_II_16983,.tblout
MZ333456,PF16938.8,Phage_holin_Dp1,orf38,2.9e-18,Putative phage holin Dp-1,20167,20481,+,MZ333456_II_16983,.tblout
MZ333456,PF01183.23,Glyco_hydro_25,orf47,4.7e-36,Glycosyl hydrolases family 25,20471,21745,+,MZ333456_II_16983,.tblout
MZ333456,PF19528.2,DUF6056,orf49,0.0027,Family of unknown function (DUF6056),21908,22069,+,MZ333456_II_16983,.tblout
MZ333456,PF10084.12,DUF2322,orf63,0.0038,Uncharacterized protein conserved in bacteria (DUF2322),20633,20535,-,MZ333456_II_16983,.tblout
MZ333456,PF16909.8,VPS13_C,orf9,0.00036,Vacuolar-sorting-associated 13 protein C-terminal,11985,13742,+,MZ333456_II_16983,.tblout
MZ422438,PF06725.14,3D,orf105,1.4e-07,3D domain,49624,48827,-,MZ422438_II_51029,.tblout
MZ422438,PF16473.8,Rv2179c-like,orf111,3.8e-10,3'-5' exoribonuclease Rv2179c-like domain,48337,47723,-,MZ422438_II_51029,.tblout
MZ422438,PF13412.9,HTH_24,orf113,2.6e-07,Winged helix-turn-helix DNA-binding,47658,47026,-,MZ422438_II_51029,.tblout
MZ422438,PF06725.14,3D,orf106,1.4e-07,3D domain,49624,48827,-,MZ422438_II_51540,.tblout
MZ422438,PF16473.8,Rv2179c-like,orf112,3.8e-10,3'-5' exoribonuclease Rv2179c-like domain,48337,47723,-,MZ422438_II_51540,.tblout
MZ422438,PF13412.9,HTH_24,orf114,2.6e-07,Winged helix-turn-helix DNA-binding,47658,47026,-,MZ422438_II_51540,.tblout
MZ422438,PF04480.15,DUF559,orf21,0.0052,Protein of unknown function (DUF559),119247,120074,+,MZ422438_II_120247,.tblout
MZ422438,PF17289.5,Terminase_6C,orf26,2.8000000000000003e-05,Terminase RNaseH-like domain,120868,122121,+,MZ422438_II_120247,.tblout
MZ422438,PF07534.19,TLD,orf61,0.0042,TLD,121905,121750,-,MZ422438_II_120247,.tblout
MZ422438,PF04480.15,DUF559,orf17,0.0052,Protein of unknown function (DUF559),119247,120074,+,MZ422438_II_120806,.tblout
MZ422438,PF17289.5,Terminase_6C,orf22,2.8000000000000003e-05,Terminase RNaseH-like domain,120868,122121,+,MZ422438_II_120806,.tblout
MZ422438,PF07534.19,TLD,orf60,0.0042,TLD,121905,121750,-,MZ422438_II_120806,.tblout
MZ422438,PF11246.11,Phage_gp53,orf106,0.0015,Base plate wedge protein 53,132820,132011,-,MZ422438_II_137093,.tblout
MZ422438,PF17733.4,DUF5572,orf33,0.0043,Family of unknown function (DUF5572),136162,136314,+,MZ422438_II_137093,.tblout
MZ422438,PF00078.30,RVT_1,orf93,7e-31,Reverse transcriptase (RNA-dependent DNA polymerase),138934,137141,-,MZ422438_II_137093,.tblout
MZ422438,PF00136.24,DNA_pol_B,orf96,0.00037,DNA polymerase family B,137076,136315,-,MZ422438_II_137093,.tblout
MZ422438,PF17733.4,DUF5572,orf13,0.0043,Family of unknown function (DUF5572),136162,136314,+,MZ422438_II_139484,.tblout
MZ422438,PF02463.22,SMC_N,orf75,1e-06,RecF/RecN/SMC N terminal domain,144483,143548,-,MZ422438_II_139484,.tblout
MZ422438,PF00078.30,RVT_1,orf95,7e-31,Reverse transcriptase (RNA-dependent DNA polymerase),138934,137141,-,MZ422438_II_139484,.tblout
MZ422438,PF00136.24,DNA_pol_B,orf98,0.00037,DNA polymerase family B,137076,136315,-,MZ422438_II_139484,.tblout
MZ422438,PF00562.31,RNA_pol_Rpb2_6,orf101,4.3e-21,"RNA polymerase Rpb2, domain 6",161253,159454,-,MZ422438_II_163939,.tblout
MZ422438,PF02518.29,HATPase_c,orf62,1.6e-13,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",168189,168938,+,MZ422438_II_163939,.tblout
MZ422438,PF00154.24,RecA,orf93,6e-07,recA bacterial DNA recombination protein,162609,161326,-,MZ422438_II_163939,.tblout
MZ422438,PF00562.31,RNA_pol_Rpb2_6,orf104,4.3e-21,"RNA polymerase Rpb2, domain 6",161253,159454,-,MZ422438_II_164412,.tblout
MZ422438,PF00204.28,DNA_gyraseB,orf61,1.3000000000000001e-37,DNA gyrase B,168189,169412,+,MZ422438_II_164412,.tblout
MZ422438,PF00154.24,RecA,orf96,6e-07,recA bacterial DNA recombination protein,162609,161326,-,MZ422438_II_164412,.tblout
NC_007581,PF06114.16,Peptidase_M78,orf103,1.5e-15,IrrE N-terminal-like domain,111460,110810,-,NC_007581_II_114704,.tblout
NC_007581,PF19865.2,DUF6338,orf109,0.0062,Family of unknown function (DUF6338),109820,109620,-,NC_007581_II_114704,.tblout
NC_007581,PF09232.13,Caenor_Her-1,orf37,0.0043,Caenorhabditis elegans Her-1,115241,115408,+,NC_007581_II_114704,.tblout
NC_007581,PF20195.1,DUF6558,orf79,9.300000000000001e-24,Family of unknown function (DUF6558),118284,117490,-,NC_007581_II_114704,.tblout
NC_007581,PF17045.8,CEP63,orf82,0.0072,Centrosomal protein of 63 kDa,117486,115252,-,NC_007581_II_114704,.tblout
NC_030940,PF00078.30,RVT_1,orf24,1.8e-42,Reverse transcriptase (RNA-dependent DNA polymerase),1060,2754,+,NC_030940_II_413,.tblout
NC_030940,PF17845.4,FbpC_C_terminal,orf37,0.0052,FbpC C-terminal regulatory nucleotide binding domain,3458,3844,+,NC_030940_II_413,.tblout
NC_030940,PF13155.9,Toprim_2,orf60,7.9e-08,Toprim-like,4630,5559,+,NC_030940_II_413,.tblout
NC_030940,PF18720.4,EGF_Tenascin,orf74,0.0032,Tenascin EGF domain,4365,4246,-,NC_030940_II_413,.tblout
NC_030940,PF01381.25,HTH_3,orf75,3.2e-08,Helix-turn-helix,4301,4065,-,NC_030940_II_413,.tblout
NC_030940,PF00589.25,Phage_integrase,orf85,4.9e-23,Phage integrase family,4105,2891,-,NC_030940_II_413,.tblout
NC_030940,PF18720.4,EGF_Tenascin,orf122,0.0032,Tenascin EGF domain,4365,4246,-,NC_030940_II_2772,.tblout
NC_030940,PF01381.25,HTH_3,orf123,3.2e-08,Helix-turn-helix,4301,4065,-,NC_030940_II_2772,.tblout
NC_030940,PF00589.25,Phage_integrase,orf133,4.9e-23,Phage integrase family,4105,2891,-,NC_030940_II_2772,.tblout
NC_030940,PF00078.30,RVT_1,orf24,1.8e-42,Reverse transcriptase (RNA-dependent DNA polymerase),1060,2754,+,NC_030940_II_2772,.tblout
NC_030940,PF17845.4,FbpC_C_terminal,orf37,0.0052,FbpC C-terminal regulatory nucleotide binding domain,3458,3844,+,NC_030940_II_2772,.tblout
NC_030940,PF13155.9,Toprim_2,orf73,4e-07,Toprim-like,4630,7326,+,NC_030940_II_2772,.tblout
NC_031039,PF14311.9,DUF4379,orf106,2.1e-08,Probable Zinc-ribbon domain,120186,118702,-,NC_031039_II_120531,.tblout
NC_031039,PF13719.9,zinc_ribbon_5,orf135,0.0009,zinc-ribbon domain,115749,115609,-,NC_031039_II_120531,.tblout
NC_031039,PF02939.19,UcrQ,orf51,0.0082,UcrQ family,121953,122069,+,NC_031039_II_120531,.tblout
NC_031039,PF08281.15,Sigma70_r4_2,orf87,0.0038,"Sigma-70, region 4",124021,123548,-,NC_031039_II_120531,.tblout
NC_031039,PF01763.19,Herpes_UL6,orf88,0.0028,Herpesvirus UL6 like,123519,123256,-,NC_031039_II_120531,.tblout
NC_031039,PF04997.15,RNA_pol_Rpb1_1,orf91,0.00016,"RNA polymerase Rpb1, domain 1",123164,121995,-,NC_031039_II_120531,.tblout
NC_031039,PF13005.10,zf-IS66,orf98,5.5e-05,zinc-finger binding domain of transposase IS66,121461,120538,-,NC_031039_II_120531,.tblout
NC_031039,PF14311.9,DUF4379,orf104,2.1e-08,Probable Zinc-ribbon domain,120186,118702,-,NC_031039_II_121944,.tblout
NC_031039,PF02939.19,UcrQ,orf36,0.0082,UcrQ family,121953,122069,+,NC_031039_II_121944,.tblout
NC_031039,PF20286.1,divDNApol,orf79,3.6e-42,Divergent Family B DNA polymerase,126944,125151,-,NC_031039_II_121944,.tblout
NC_031039,PF08281.15,Sigma70_r4_2,orf85,0.0038,"Sigma-70, region 4",124021,123548,-,NC_031039_II_121944,.tblout
NC_031039,PF01763.19,Herpes_UL6,orf86,0.0028,Herpesvirus UL6 like,123519,123256,-,NC_031039_II_121944,.tblout
NC_031039,PF04997.15,RNA_pol_Rpb1_1,orf89,0.00016,"RNA polymerase Rpb1, domain 1",123164,121995,-,NC_031039_II_121944,.tblout
NC_031039,PF13005.10,zf-IS66,orf96,5.5e-05,zinc-finger binding domain of transposase IS66,121461,120538,-,NC_031039_II_121944,.tblout
NC_043027,PF14311.9,DUF4379,orf104,2.1e-08,Probable Zinc-ribbon domain,30379,28895,-,NC_043027_II_30725,.tblout
NC_043027,PF13719.9,zinc_ribbon_5,orf130,0.0009,zinc-ribbon domain,26051,25911,-,NC_043027_II_30725,.tblout
NC_043027,PF19655.2,DUF6158,orf23,0.0031,Family of unknown function (DUF6158),28613,28750,+,NC_043027_II_30725,.tblout
NC_043027,PF02939.19,UcrQ,orf49,0.0082,UcrQ family,32147,32263,+,NC_043027_II_30725,.tblout
NC_043027,PF08281.15,Sigma70_r4_2,orf85,0.0038,"Sigma-70, region 4",34215,33742,-,NC_043027_II_30725,.tblout
NC_043027,PF01763.19,Herpes_UL6,orf86,0.0028,Herpesvirus UL6 like,33713,33450,-,NC_043027_II_30725,.tblout
NC_043027,PF04997.15,RNA_pol_Rpb1_1,orf89,0.00016,"RNA polymerase Rpb1, domain 1",33358,32189,-,NC_043027_II_30725,.tblout
NC_043027,PF13005.10,zf-IS66,orf96,5.5e-05,zinc-finger binding domain of transposase IS66,31655,30732,-,NC_043027_II_30725,.tblout
NC_043027,PF19655.2,DUF6158,orf10,0.0031,Family of unknown function (DUF6158),28613,28750,+,NC_043027_II_32138,.tblout
NC_043027,PF14311.9,DUF4379,orf104,2.1e-08,Probable Zinc-ribbon domain,30379,28895,-,NC_043027_II_32138,.tblout
NC_043027,PF02939.19,UcrQ,orf36,0.0082,UcrQ family,32147,32263,+,NC_043027_II_32138,.tblout
NC_043027,PF20286.1,divDNApol,orf79,1.0999999999999999e-41,Divergent Family B DNA polymerase,37138,35345,-,NC_043027_II_32138,.tblout
NC_043027,PF08281.15,Sigma70_r4_2,orf85,0.0038,"Sigma-70, region 4",34215,33742,-,NC_043027_II_32138,.tblout
NC_043027,PF01763.19,Herpes_UL6,orf86,0.0028,Herpesvirus UL6 like,33713,33450,-,NC_043027_II_32138,.tblout
NC_043027,PF04997.15,RNA_pol_Rpb1_1,orf89,0.00016,"RNA polymerase Rpb1, domain 1",33358,32189,-,NC_043027_II_32138,.tblout
NC_043027,PF13005.10,zf-IS66,orf96,5.5e-05,zinc-finger binding domain of transposase IS66,31655,30732,-,NC_043027_II_32138,.tblout
ON107264,PF08863.13,YolD,orf13,8e-28,YolD-like protein,84306,84641,+,ON107264_II_87715,.tblout
ON107264,PF16935.8,Hol_Tox,orf154,5.200000000000001e-10,Putative Holin-like Toxin (Hol-Tox),83208,83026,-,ON107264_II_87715,.tblout
ON107264,PF00817.23,IMS,orf16,2.9999999999999996e-24,impB/mucB/samB family,84625,85317,+,ON107264_II_87715,.tblout
ON107264,PF00078.30,RVT_1,orf25,4.7999999999999994e-42,Reverse transcriptase (RNA-dependent DNA polymerase),85865,87706,+,ON107264_II_87715,.tblout
ON107264,PF11799.11,IMS_C,orf31,2.2000000000000002e-18,impB/mucB/samB family C-terminal domain,87705,88361,+,ON107264_II_87715,.tblout
ON107264,PF12708.10,Pectate_lyase_3,orf81,4.1e-11,Pectate lyase superfamily protein,92810,91869,-,ON107264_II_87715,.tblout
ON107264,PF01510.28,Amidase_2,orf89,5.799999999999999e-17,N-acetylmuramoyl-L-alanine amidase,91704,90592,-,ON107264_II_87715,.tblout
ON107264,PF01519.19,DUF16,orf93,0.0007599999999999999,Protein of unknown function DUF16,90476,90084,-,ON107264_II_87715,.tblout
ON107264,PF04531.16,Phage_holin_1,orf95,2.7000000000000003e-28,Bacteriophage holin,90059,89811,-,ON107264_II_87715,.tblout
ON107264,PF18801.4,RapH_N,orf98,4e-23,"response regulator aspartate phosphatase H, N terminal",89653,88541,-,ON107264_II_87715,.tblout
ON470608,PF13550.9,Phage-tail_3,orf109,4.7e-05,Putative phage tail protein,11149,10370,-,ON470608_II_6150,.tblout
ON470608,PF00078.30,RVT_1,orf150,1.1e-48,Reverse transcriptase (RNA-dependent DNA polymerase),5875,4337,-,ON470608_II_6150,.tblout
ON470608,PF02796.18,HTH_7,orf155,6.5000000000000004e-06,Helix-turn-helix domain of resolvase,4294,3827,-,ON470608_II_6150,.tblout
ON470608,PF00589.25,Phage_integrase,orf157,0.0066,Phage integrase family,3758,3327,-,ON470608_II_6150,.tblout
ON470608,PF07910.16,Peptidase_C78,orf58,0.009000000000000001,Peptidase family C78,6162,6524,+,ON470608_II_6150,.tblout
ON470622,PF07910.16,Peptidase_C78,orf134,0.009000000000000001,Peptidase family C78,40491,40129,-,ON470622_II_40501,.tblout
ON470622,PF13550.9,Phage-tail_3,orf4,4.7e-05,Putative phage tail protein,35504,36283,+,ON470622_II_40501,.tblout
ON470622,PF00078.30,RVT_1,orf45,6e-49,Reverse transcriptase (RNA-dependent DNA polymerase),40778,42316,+,ON470622_II_40501,.tblout
ON470622,PF02796.18,HTH_7,orf50,6.5000000000000004e-06,Helix-turn-helix domain of resolvase,42359,42826,+,ON470622_II_40501,.tblout
ON470622,PF00589.25,Phage_integrase,orf52,0.0066,Phage integrase family,42895,43326,+,ON470622_II_40501,.tblout
OQ555808,PF19531.2,DUF6058,orf24,0.003,Family of unknown function (DUF6058),57152,57352,+,OQ555808_II_59592,.tblout
OQ555808,PF16556.8,IL17R_fnIII_D1,orf37,0.0083,"Interleukin-17 receptor, fibronectin-III-like domain 1",58013,58192,+,OQ555808_II_59592,.tblout
OQ555808,PF00078.30,RVT_1,orf61,4e-41,Reverse transcriptase (RNA-dependent DNA polymerase),59925,61334,+,OQ555808_II_59592,.tblout
OQ555808,PF01844.26,HNH,orf71,2.7999999999999998e-12,HNH endonuclease,62084,62449,+,OQ555808_II_59592,.tblout
OQ555808,PF01139.20,RtcB,orf9,5.799999999999999e-111,tRNA-splicing ligase RtcB,54595,55683,+,OQ555808_II_59592,.tblout
OQ555808,PF19531.2,DUF6058,orf22,0.003,Family of unknown function (DUF6058),57152,57352,+,OQ555808_II_59808,.tblout
OQ555808,PF16556.8,IL17R_fnIII_D1,orf35,0.0083,"Interleukin-17 receptor, fibronectin-III-like domain 1",58013,58192,+,OQ555808_II_59808,.tblout
OQ555808,PF00078.30,RVT_1,orf59,4e-41,Reverse transcriptase (RNA-dependent DNA polymerase),59925,61334,+,OQ555808_II_59808,.tblout
OQ555808,PF01844.26,HNH,orf69,2.7999999999999998e-12,HNH endonuclease,62084,62449,+,OQ555808_II_59808,.tblout
OQ555808,PF01139.20,RtcB,orf7,5.799999999999999e-88,tRNA-splicing ligase RtcB,54811,55683,+,OQ555808_II_59808,.tblout
EU982300,PF00717.26,Peptidase_S24,orf15,1.3999999999999999e-18,Peptidase S24-like,1294,1666,+,EU982300_II_5275,.domtblout
EU982300,PF01381.25,HTH_3,orf15,9.5e-12,Helix-turn-helix,988,1153,+,EU982300_II_5275,.domtblout
EU982300,PF13443.9,HTH_26,orf15,4.900000000000001e-10,Cro/C1-type HTH DNA-binding domain,988,1153,+,EU982300_II_5275,.domtblout
EU982300,PF12324.11,HTH_15,orf189,0.0057,Helix-turn-helix domain of alkylmercury lyase,1578,1464,-,EU982300_II_5275,.domtblout
EU982300,PF10122.12,Mu-like_Com,orf23,1.5e-18,Mu-like prophage protein Com,2155,2281,+,EU982300_II_5275,.domtblout
EU982300,PF16085.8,Phage_holin_3_5,orf31,8.099999999999999e-57,"Bacteriophage holin Hol, superfamily III",3050,3377,+,EU982300_II_5275,.domtblout
EU982300,PF09536.13,DUF2378,orf32,0.0075,Protein of unknown function (DUF2378),3238,3379,+,EU982300_II_5275,.domtblout
EU982300,PF10122.12,Mu-like_Com,orf34,4e-14,Mu-like prophage protein Com,3450,3555,+,EU982300_II_5275,.domtblout
EU982300,PF14859.9,Colicin_M,orf41,5.8999999999999986e-158,Colicin M,3628,4435,+,EU982300_II_5275,.domtblout
EU982300,PF08388.14,GIIM,orf55,5e-16,"Group II intron, maturase-specific domain",5412,5571,+,EU982300_II_5275,.domtblout
EU982300,PF10948.11,DUF2635,orf73,3e-18,Protein of unknown function (DUF2635),6891,7011,+,EU982300_II_5275,.domtblout
EU982300,PF04984.17,Phage_sheath_1,orf87,1.7000000000000002e-18,Phage tail sheath protein subtilisin-like domain,7667,8156,+,EU982300_II_5275,.domtblout
EU982300,PF17482.5,Phage_sheath_1C,orf87,4e-14,Phage tail sheath C-terminal domain,7577,7661,+,EU982300_II_5275,.domtblout
EU982300,PF17482.5,Phage_sheath_1C,orf87,4e-14,Phage tail sheath C-terminal domain,8183,8519,+,EU982300_II_5275,.domtblout
EU982300,PF10618.12,Tail_tube,orf93,1.3e-30,Phage tail tube protein,8624,8951,+,EU982300_II_5275,.domtblout
EU982300,PF10109.12,Phage_TAC_7,orf96,1.8e-19,"Phage tail assembly chaperone proteins, E, or 41 or 14",8971,9220,+,EU982300_II_5275,.domtblout
EU982300,PF07699.16,Ephrin_rec_like,orf98,0.0076,Tyrosine-protein kinase ephrin type A/B receptor-like,9325,9403,+,EU982300_II_5275,.domtblout
EU982300,PF10122.12,Mu-like_Com,orf17,1.5e-18,Mu-like prophage protein Com,2155,2281,+,EU982300_II_5809,.domtblout
EU982300,PF12324.11,HTH_15,orf188,0.0057,Helix-turn-helix domain of alkylmercury lyase,1578,1464,-,EU982300_II_5809,.domtblout
EU982300,PF16085.8,Phage_holin_3_5,orf25,8.099999999999999e-57,"Bacteriophage holin Hol, superfamily III",3050,3377,+,EU982300_II_5809,.domtblout
EU982300,PF09536.13,DUF2378,orf26,0.0075,Protein of unknown function (DUF2378),3238,3379,+,EU982300_II_5809,.domtblout
EU982300,PF10122.12,Mu-like_Com,orf28,4e-14,Mu-like prophage protein Com,3450,3555,+,EU982300_II_5809,.domtblout
EU982300,PF14859.9,Colicin_M,orf35,5.8999999999999986e-158,Colicin M,3628,4435,+,EU982300_II_5809,.domtblout
EU982300,PF08388.14,GIIM,orf49,5e-16,"Group II intron, maturase-specific domain",5412,5571,+,EU982300_II_5809,.domtblout
EU982300,PF10948.11,DUF2635,orf67,3e-18,Protein of unknown function (DUF2635),6891,7011,+,EU982300_II_5809,.domtblout
EU982300,PF04984.17,Phage_sheath_1,orf81,1.7000000000000002e-18,Phage tail sheath protein subtilisin-like domain,7667,8156,+,EU982300_II_5809,.domtblout
EU982300,PF17482.5,Phage_sheath_1C,orf81,4e-14,Phage tail sheath C-terminal domain,7577,7661,+,EU982300_II_5809,.domtblout
EU982300,PF17482.5,Phage_sheath_1C,orf81,4e-14,Phage tail sheath C-terminal domain,8183,8519,+,EU982300_II_5809,.domtblout
EU982300,PF10618.12,Tail_tube,orf87,1.3e-30,Phage tail tube protein,8624,8951,+,EU982300_II_5809,.domtblout
EU982300,PF00717.26,Peptidase_S24,orf9,1.3999999999999999e-18,Peptidase S24-like,1294,1666,+,EU982300_II_5809,.domtblout
EU982300,PF01381.25,HTH_3,orf9,9.5e-12,Helix-turn-helix,988,1153,+,EU982300_II_5809,.domtblout
EU982300,PF13443.9,HTH_26,orf9,4.900000000000001e-10,Cro/C1-type HTH DNA-binding domain,988,1153,+,EU982300_II_5809,.domtblout
EU982300,PF10109.12,Phage_TAC_7,orf90,1.8e-19,"Phage tail assembly chaperone proteins, E, or 41 or 14",8971,9220,+,EU982300_II_5809,.domtblout
EU982300,PF07699.16,Ephrin_rec_like,orf92,0.0076,Tyrosine-protein kinase ephrin type A/B receptor-like,9325,9403,+,EU982300_II_5809,.domtblout
HQ906664,PF04542.17,Sigma70_r2,orf30,2.2e-05,Sigma-70 region 2,18934,19072,+,HQ906664_II_21103,.domtblout
HQ906664,PF13479.9,AAA_24,orf36,5.7e-40,AAA domain,19472,20150,+,HQ906664_II_21103,.domtblout
HQ906664,PF00005.30,ABC_tran,orf36,0.0015,ABC transporter,19454,19541,+,HQ906664_II_21103,.domtblout
HQ906664,PF01637.21,ATPase_2,orf36,0.0059,ATPase domain predominantly from Archaea,19427,19541,+,HQ906664_II_21103,.domtblout
HQ906664,PF09791.12,Oxidored-like,orf39,0.0036,"Oxidoreductase-like protein, N-terminal",20790,20853,+,HQ906664_II_21103,.domtblout
HQ906664,PF13481.9,AAA_25,orf40,2.3e-19,AAA domain,20323,20845,+,HQ906664_II_21103,.domtblout
HQ906664,PF11557.11,Omp_AT,orf40,0.0089,Solitary outer membrane autotransporter beta-barrel domain,20503,20638,+,HQ906664_II_21103,.domtblout
HQ906664,PF01555.21,N6_N4_Mtase,orf75,1.5e-25,DNA methylase,17122,16555,-,HQ906664_II_21103,.domtblout
HQ906664,PF02195.21,ParBc,orf75,2.1e-08,ParB/Sulfiredoxin domain,17659,17440,-,HQ906664_II_21103,.domtblout
HQ906664,PF02086.18,MethyltransfD12,orf75,0.0074,D12 class N6 adenine-specific DNA methyltransferase,17158,17035,-,HQ906664_II_21103,.domtblout
